planned_decision_id,variant_id,external_optimizer_seed,n_samples,mean_dt_external,median_dt_external,afino_dt_m0,afino_dt_m1,afino_dt_m2,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_bin_count_m0,afino_bin_count_m1,afino_bin_count_m2,fftfreq_positive_match,legacy_rfftfreq_match
F3ADP000143,F3AV000143,0,26,20.000296436192002,20.000292436452582,20.000296436192002,20.000296436192002,20.000296436192002,True,True,True,12,13,12,12,12,True,False
F3ADP000150,F3AV000150,0,32,20.000295658246614,20.000292436452582,20.000295658246614,20.000295658246614,20.000295658246614,True,True,True,15,16,15,15,15,True,False
F3ADP000151,F3AV000151,0,24,20.000295907653786,20.000292436452582,20.000295907653786,20.000295907653786,20.000295907653786,True,True,True,11,12,11,11,11,True,False
F3ADP000185,F3AV000185,0,29,20.000203741697728,20.000192246516235,20.000203741697728,20.000203741697728,20.000203741697728,True,True,True,14,14,14,14,14,True,True
F3ADP000229,F3AV000229,0,27,20.000204622920137,20.000192246516235,20.000204622920137,20.000204622920137,20.000204622920137,True,True,True,13,13,13,13,13,True,True
F3ADP000249,F3AV000249,0,18,20.000604044488522,20.00059457786847,20.000604044488522,20.000604044488522,20.000604044488522,True,True,True,8,9,8,8,8,True,False
F3ADP000256,F3AV000256,0,16,20.00060262711486,20.00059457786847,20.00060262711486,20.00060262711486,20.00060262711486,True,True,True,7,8,7,7,7,True,False
F3ADP000259,F3AV000259,0,15,20.000603199254588,20.00059457786847,20.000603199254588,20.000603199254588,20.000603199254588,True,True,True,7,7,7,7,7,True,True
F3ADP000285,F3AV000285,0,19,20.000603518565185,20.00059457786847,20.000603518565185,20.000603518565185,20.000603518565185,True,True,True,9,9,9,9,9,True,True
F3ADP000292,F3AV000292,0,19,20.000603516382398,20.00059457786847,20.000603516382398,20.000603516382398,20.000603516382398,True,True,True,9,9,9,9,9,True,True
F3ADP000313,F3AV000313,0,15,20.00012973866043,20.000129048275994,20.00012973866043,20.00012973866043,20.00012973866043,True,True,True,7,7,7,7,7,True,True
F3ADP000795,F3AV000795,0,22,19.999805823941383,19.999810110311955,19.999805823941383,19.999805823941383,19.999805823941383,True,True,True,10,11,10,10,10,True,False
F3ADP000802,F3AV000802,0,21,19.999805607658345,19.999810110311955,19.999805607658345,19.999805607658345,19.999805607658345,True,True,True,10,10,10,10,10,True,True
F3ADP000831,F3AV000831,0,24,19.999805761060838,19.999810110311955,19.999805761060838,19.999805761060838,19.999805761060838,True,True,True,11,12,11,11,11,True,False
F3ADP000838,F3AV000838,0,23,19.99980556158169,19.999810110311955,19.99980556158169,19.99980556158169,19.99980556158169,True,True,True,11,11,11,11,11,True,True
F3ADP008881,F3AV008881,0,215,20.000164433848656,20.000151856220327,20.000164433848656,20.000164433848656,20.000164433848656,True,True,True,107,107,107,107,107,True,True
F3ADP008959,F3AV008959,0,222,20.000144222726764,20.00014171935618,20.000144222726764,20.000144222726764,20.000144222726764,True,True,True,110,111,110,110,110,True,False
F3ADS000001,F3AV000001,1,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,True,True,True,14,15,14,14,14,True,False
F3ADS000009,F3AV000001,9,30,20.00016521623334,20.000171422725543,20.00016521623334,20.00016521623334,20.00016521623334,True,True,True,14,15,14,14,14,True,False
F3ADS000010,F3AV000079,1,28,20.0002961413702,20.000292436452582,20.0002961413702,20.0002961413702,20.0002961413702,True,True,True,13,14,13,13,13,True,False
F3ADS000018,F3AV000079,9,28,20.0002961413702,20.000292436452582,20.0002961413702,20.0002961413702,20.0002961413702,True,True,True,13,14,13,13,13,True,False
