phase3a_event_id,pair_id,observational_reference_role,baseline_variant_id,baseline_materialization_status,baseline_inadmissibility_reason,baseline_decision_available,baseline_qpp_selected,expected_reference_selection_state,baseline_gate_state
F3AE000039,F3AP0020,PUBLISHED_QPP_REFERENCE,F3AV002965,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000040,F3AP0020,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003043,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000041,F3AP0021,PUBLISHED_QPP_REFERENCE,F3AV003121,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000042,F3AP0021,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003199,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,false,INPUT_INADMISSIBLE
F3AE000043,F3AP0022,PUBLISHED_QPP_REFERENCE,F3AV003277,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000044,F3AP0022,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003355,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000045,F3AP0023,PUBLISHED_QPP_REFERENCE,F3AV003433,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000046,F3AP0023,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003511,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000047,F3AP0024,PUBLISHED_QPP_REFERENCE,F3AV003589,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000048,F3AP0024,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003667,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000049,F3AP0025,PUBLISHED_QPP_REFERENCE,F3AV003745,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000050,F3AP0025,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003823,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000051,F3AP0026,PUBLISHED_QPP_REFERENCE,F3AV003901,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000052,F3AP0026,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV003979,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000053,F3AP0027,PUBLISHED_QPP_REFERENCE,F3AV004057,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,true,INPUT_INADMISSIBLE
F3AE000054,F3AP0027,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004135,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,false,INPUT_INADMISSIBLE
F3AE000055,F3AP0028,PUBLISHED_QPP_REFERENCE,F3AV004213,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000056,F3AP0028,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004291,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000057,F3AP0029,PUBLISHED_QPP_REFERENCE,F3AV004369,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000058,F3AP0029,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004447,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000059,F3AP0030,PUBLISHED_QPP_REFERENCE,F3AV004525,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000060,F3AP0030,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004603,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000061,F3AP0031,PUBLISHED_QPP_REFERENCE,F3AV004681,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000062,F3AP0031,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004759,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000063,F3AP0032,PUBLISHED_QPP_REFERENCE,F3AV004837,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000064,F3AP0032,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV004915,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000065,F3AP0033,PUBLISHED_QPP_REFERENCE,F3AV004993,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000066,F3AP0033,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005071,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000067,F3AP0034,PUBLISHED_QPP_REFERENCE,F3AV005149,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000068,F3AP0034,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005227,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000069,F3AP0035,PUBLISHED_QPP_REFERENCE,F3AV005305,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000070,F3AP0035,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005383,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000071,F3AP0036,PUBLISHED_QPP_REFERENCE,F3AV005461,ELIGIBLE_FOR_AFINO,,true,false,true,REFERENCE_BASELINE_MISMATCH
F3AE000072,F3AP0036,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005539,ELIGIBLE_FOR_AFINO,,true,false,false,REFERENCE_CONCORDANT
F3AE000073,F3AP0037,PUBLISHED_QPP_REFERENCE,F3AV005617,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,true,INPUT_INADMISSIBLE
F3AE000074,F3AP0037,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV005695,INPUT_INADMISSIBLE,TOO_FEW_CADENCES,false,,false,INPUT_INADMISSIBLE
