planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status
F3ADP000056,34,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000056,F3AC056,WX1,P01,0,F3APAY000034,abab5f9396ae76ffc2f0ed1543dc15cd7aa3ba8b33f43d7d6ab895c2b4371e62,32,READY_FOR_AFINO
F3ADP000059,35,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000059,F3AC059,WX1,P04,0,F3APAY000035,312b9a2ca7e606a0010de42d8705d6ee122ab01066f92a2c6c474bf1fed6e764,32,READY_FOR_AFINO
F3ADP000060,36,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000060,F3AC060,WX1,P05,0,F3APAY000036,528ccc74ce254e3c1d729389a17417d229eb60d373f18cbedd9c30b94a9a5285,32,READY_FOR_AFINO
F3ADP000061,37,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000061,F3AC061,WC1,P00,0,F3APAY000037,9b982a4bf666b40e9b37660ace35eb3dc533bae4796cebbff9d0e8cb932be078,28,READY_FOR_AFINO
F3ADP000062,38,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000062,F3AC062,WC1,P01,0,F3APAY000038,0de9eed7c50e5bbce03a3b17a54afd4b2e6b8f9efa9c60a0cc35330b30629869,28,READY_FOR_AFINO
F3ADP000065,39,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000065,F3AC065,WC1,P04,0,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,28,READY_FOR_AFINO
F3ADP000066,40,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000066,F3AC066,WC1,P05,0,F3APAY000040,e5a74f4a71dbd342e72f6102c6e71c23dacc8a9b1c1d5d5bdc50b86fb6b34033,28,READY_FOR_AFINO
F3ADP000067,41,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000067,F3AC067,WX2,P00,0,F3APAY000041,64778d9b306b8dd4be18047f28d0a1fb1c072b6ecbd3d94c9c319d8a3cb2d133,34,READY_FOR_AFINO
F3ADP000068,42,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000068,F3AC068,WX2,P01,0,F3APAY000042,486588472f4b658e75893d5a90ed31cbce3a2fe823358d50d5fcd70dede40664,34,READY_FOR_AFINO
F3ADP000071,43,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000071,F3AC071,WX2,P04,0,F3APAY000043,b00d6155cb3b6b6469111197515c032112b5fce1906109ef615426e38acb233e,34,READY_FOR_AFINO
F3ADP000072,44,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000072,F3AC072,WX2,P05,0,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,34,READY_FOR_AFINO
F3ADP000079,45,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000079,F3AC001,W00,P00,0,F3APAY000045,55b948e36dc833207dac681f397fa50a0ca6009e9432fb5c6cb0dbbeab819b96,28,READY_FOR_AFINO
F3ADP000080,46,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000080,F3AC002,W00,P01,0,F3APAY000046,0efee212e6982aa92555e1841b4161ee72ab0053d618383b09b7c9e3bf5ba98f,28,READY_FOR_AFINO
F3ADP000083,47,PRIMARY,F3AE000002,F3AP0001,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV000083,F3AC005,W00,P04,0,F3APAY000047,ad59132685ea2649a296b59fcb8a65bf3bc4b2ef14f402d15acb380e6d6919fe,28,READY_FOR_AFINO
