phase3a_event_id,tic_id,sector,product_status,product_identifier,product_uri_or_archive_key,physical_filename,physical_sha256,size_bytes,fits_checksum_status,fits_datasum_status,time_column_present,sap_flux_present,pdcsap_flux_present,quality_present,n_rows,median_cadence_s,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,time_mapping_status,candidate_product_count,candidate_datauris_json,selected_prvversion,mast_obsid,timesys,bjdrefi,bjdreff,timeunit,header_ticid,header_sector
F3AE000021,220433364,31,BOUND_DOWNLOADED,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,mast:TESS/product/tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,11018880,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109893,20.000011315278243,93148,93153,93299,-0.017717628,0.017137076,0.032854677,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits""]",spoc-5.0.20-20201120,28057030,TDB,2457000,0.0,d,220433364,31
F3AE000022,220433364,39,BOUND_DOWNLOADED,tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,mast:TESS/product/tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits,961d90423e4099701016b92febabebd81f3ae4c047188144f7d88293cbcac726,12107520,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,120766,20.00026241876185,91,96,268,-0.025017702,0.011343819,0.035328425,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021146024351-s0039-0000000220433364-0210-a_fast-lc.fits""]",spoc-5.0.35-20210626,62013280,TDB,2457000,0.0,d,220433364,39
F3AE000023,220433364,31,BOUND_DOWNLOADED,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,mast:TESS/product/tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits,1ec77983e442d64f17bda373c36a6098d7ca980fc1cae4618c827e322e54b811,11018880,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109893,20.000011315278243,89061,89066,89146,-0.014141947,0.020783086,-0.025084888,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020294194027-s0031-0000000220433364-0198-a_fast-lc.fits""]",spoc-5.0.20-20201120,28057030,TDB,2457000,0.0,d,220433364,31
F3AE000024,220433364,33,BOUND_DOWNLOADED,tess2020351194500-s0033-0000000220433364-0203-a_fast-lc.fits,mast:TESS/product/tess2020351194500-s0033-0000000220433364-0203-a_fast-lc.fits,tess2020351194500-s0033-0000000220433364-0203-a_fast-lc.fits,f4d25996a82bb60a4ad997d19f4ae0d4b992b40a9ee19358c4817a944efea87c,11197440,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,111660,19.999603915493935,4317,4319,4360,-0.041183486,0.041465511,0.007841257,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020351194500-s0033-0000000220433364-0203-a_fast-lc.fits""]",spoc-5.0.22-20210121,28229968,TDB,2457000,0.0,d,220433364,33
F3AE000025,225953237,38,BOUND_DOWNLOADED,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,11566080,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,115366,19.99999115942046,49120,49122,49138,0.025680724,0.022945774,0.001066021,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits""]",spoc-5.0.33-20210611,61596688,TDB,2457000,0.0,d,225953237,38
F3AE000026,225953237,38,BOUND_DOWNLOADED,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,11566080,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,115366,19.99999115942046,69283,69286,69298,-0.030985408,0.007347694,-0.012119800,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2021118034608-s0038-0000000225953237-0209-a_fast-lc.fits""]",spoc-5.0.33-20210611,61596688,TDB,2457000,0.0,d,225953237,38
F3AE000027,231914259,28,BOUND_DOWNLOADED,tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,mast:TESS/product/tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,447faa94859e070009cdbcb28034dd7044f2f0c9a811b87fa7dcf2f379d7b240,10941120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109095,20.000131975393742,40764,40767,40795,0.025478497,-0.022065124,0.023673821,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits""]",spoc-5.0.9-20200827,27823167,TDB,2457000,0.0,d,231914259,28
F3AE000028,231914259,28,BOUND_DOWNLOADED,tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,mast:TESS/product/tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits,447faa94859e070009cdbcb28034dd7044f2f0c9a811b87fa7dcf2f379d7b240,10941120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,109095,20.000131975393742,69355,69357,69389,-0.032458671,-0.035615911,0.000388580,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2020212050318-s0028-0000000231914259-0190-a_fast-lc.fits""]",spoc-5.0.9-20200827,27823167,TDB,2457000,0.0,d,231914259,28
F3AE000029,233342788,76,BOUND_DOWNLOADED,tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,mast:TESS/product/tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,420eebbdaa0d95ebef2489eaea39ef53212b6dcb3a8b9cbad6ae07d941cc03c7,11733120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117016,20.00015122757759,44300,44306,44374,-0.031212308,-0.039945099,0.033965331,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits""]",spoc-5.0.104-20240131,214430542,TDB,2457000,0.0,d,233342788,76
F3AE000030,233342788,76,BOUND_DOWNLOADED,tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,mast:TESS/product/tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits,420eebbdaa0d95ebef2489eaea39ef53212b6dcb3a8b9cbad6ae07d941cc03c7,11733120,FAIL:VALID|INVALID|INVALID,PARTIAL:NOT_PRESENT|NOT_PRESENT|NOT_PRESENT,true,true,true,true,117016,20.00015122757759,69325,69326,69453,0.042507722,-0.002151137,0.028766770,TIME_MAPPING_VALID,1,"[""mast:TESS/product/tess2024058030222-s0076-0000000233342788-0271-a_fast-lc.fits""]",spoc-5.0.104-20240131,214430542,TDB,2457000,0.0,d,233342788,76
