planned_decision_id,decision_order,variant_id,external_optimizer_seed,payload_id,n_samples,mean_dt_external,median_dt_external,afino_dt_m0,afino_dt_m1,afino_dt_m2,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_bin_count_m0,afino_bin_count_m1,afino_bin_count_m2,fftfreq_positive_match,legacy_median_dt_match,legacy_rfftfreq_match
F3ADS000655,7077,F3AV006007,7,F3APAY003961,19,20.00041042920202,20.0004126643762,20.00041042920202,20.00041042920202,20.00041042920202,true,true,true,9,9,9,9,9,true,false,true
F3ADS000656,7078,F3AV006007,8,F3APAY003961,19,20.00041042920202,20.0004126643762,20.00041042920202,20.00041042920202,20.00041042920202,true,true,true,9,9,9,9,9,true,false,true
F3ADS000657,7079,F3AV006007,9,F3APAY003961,19,20.00041042920202,20.0004126643762,20.00041042920202,20.00041042920202,20.00041042920202,true,true,true,9,9,9,9,9,true,false,true
F3ADS000658,7080,F3AV006085,1,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000659,7081,F3AV006085,2,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000660,7082,F3AV006085,3,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000661,7083,F3AV006085,4,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000662,7084,F3AV006085,5,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000663,7085,F3AV006085,6,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000664,7086,F3AV006085,7,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000665,7087,F3AV006085,8,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000666,7088,F3AV006085,9,F3APAY004005,20,19.999644715234783,19.9996442272095,19.999644715234783,19.999644715234783,19.999644715234783,true,true,true,9,10,9,9,9,true,false,false
F3ADS000667,7089,F3AV006163,1,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000668,7090,F3AV006163,2,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000669,7091,F3AV006163,3,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000670,7092,F3AV006163,4,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000671,7093,F3AV006163,5,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000672,7094,F3AV006163,6,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000673,7095,F3AV006163,7,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000674,7096,F3AV006163,8,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000675,7097,F3AV006163,9,F3APAY004057,25,19.99959955264785,19.99959955428494,19.99959955264785,19.99959955264785,19.99959955264785,true,true,true,12,12,12,12,12,true,false,true
F3ADS000676,7098,F3AV006241,1,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
F3ADS000677,7099,F3AV006241,2,F3APAY004109,15,19.999809720216685,19.999810071021784,19.999809720216685,19.999809720216685,19.999809720216685,true,true,true,7,7,7,7,7,true,false,true
