phase3a_event_id,variant_id,window_variant_id,processing_profile_id,baseline_period_s,variant_period_s,signed_period_change_s,absolute_period_change_s,period_ratio_variant_to_baseline
F3AE000019,F3AV001458,WEp2,P05,48.54942218392683,48.55968171690004,0.010259532973208252,0.010259532973208252,1.0002113214228243
F3AE000019,F3AV001459,WX1,P00,48.54942218392683,48.507649568476474,-0.04177261545035549,0.04177261545035549,0.9991395857340567
F3AE000019,F3AV001460,WX1,P01,48.54942218392683,48.655829750200276,0.10640756627344672,0.10640756627344672,1.0021917370276896
F3AE000019,F3AV001461,WX1,P02,48.54942218392683,48.507649568476474,-0.04177261545035549,0.04177261545035549,0.9991395857340567
F3AE000019,F3AV001462,WX1,P03,48.54942218392683,48.655829750200276,0.10640756627344672,0.10640756627344672,1.0021917370276896
F3AE000019,F3AV001463,WX1,P04,48.54942218392683,48.50958300897427,-0.03983917495256151,0.03983917495256151,0.9991794099051965
F3AE000019,F3AV001464,WX1,P05,48.54942218392683,48.65619457363988,0.10677238971305059,0.10677238971305059,1.0021992515031084
F3AE000019,F3AV001465,WC1,P00,48.54942218392683,48.60433479897927,0.054912615052437275,0.054912615052437275,1.0011310662945565
F3AE000019,F3AV001466,WC1,P01,48.54942218392683,48.793006281726015,0.24358409779918588,0.24358409779918588,1.0050172398937391
F3AE000019,F3AV001467,WC1,P02,48.54942218392683,48.60433479897927,0.054912615052437275,0.054912615052437275,1.0011310662945565
F3AE000019,F3AV001468,WC1,P03,48.54942218392683,48.793006281726015,0.24358409779918588,0.24358409779918588,1.0050172398937391
F3AE000019,F3AV001469,WC1,P04,48.54942218392683,48.608258260286476,0.05883607635964694,0.05883607635964694,1.0012118800536236
F3AE000019,F3AV001470,WC1,P05,48.54942218392683,48.7973214456331,0.24789926170627297,0.24789926170627297,1.0051061217735429
F3AE000019,F3AV001471,WX2,P00,48.54942218392683,48.51892329479255,-0.030498889134278784,0.030498889134278784,0.999371797072708
F3AE000019,F3AV001472,WX2,P01,48.54942218392683,48.66361745360928,0.11419526968244753,0.11419526968244753,1.0023521447742432
F3AE000019,F3AV001473,WX2,P02,48.54942218392683,48.51892329479255,-0.030498889134278784,0.030498889134278784,0.999371797072708
F3AE000019,F3AV001474,WX2,P03,48.54942218392683,48.66361745360928,0.11419526968244753,0.11419526968244753,1.0023521447742432
F3AE000019,F3AV001475,WX2,P04,48.54942218392683,48.52266501679828,-0.02675716712855092,0.02675716712855092,0.9994488674442472
F3AE000019,F3AV001476,WX2,P05,48.54942218392683,48.665270500791024,0.11584831686419506,0.11584831686419506,1.0023861935251321
F3AE000019,F3AV001477,WC2,P00,48.54942218392683,48.599731346060864,0.05030916213403458,0.05030916213403458,1.0010362463623859
F3AE000019,F3AV001478,WC2,P01,48.54942218392683,48.78644075163306,0.23701856770622953,0.23701856770622953,1.0048820059445465
F3AE000019,F3AV001479,WC2,P02,48.54942218392683,48.599731346060864,0.05030916213403458,0.05030916213403458,1.0010362463623859
F3AE000019,F3AV001480,WC2,P03,48.54942218392683,48.78644075163306,0.23701856770622953,0.23701856770622953,1.0048820059445465
F3AE000019,F3AV001481,WC2,P04,48.54942218392683,48.59492460504715,0.045502421120318104,0.045502421120318104,1.0009372391899523
F3AE000019,F3AV001482,WC2,P05,48.54942218392683,48.78613408647301,0.23671190254618324,0.23671190254618324,1.0048756893882158
F3AE000021,F3AV001561,W00,P00,73.20974568095586,73.20974568095586,0.0,0.0,1.0
F3AE000021,F3AV001562,W00,P01,73.20974568095586,73.24170291043768,0.03195722948181867,0.03195722948181867,1.0004365160564972
F3AE000021,F3AV001566,W00,P05,73.20974568095586,73.2125958319491,0.0028501509932397084,0.0028501509932397084,1.0000389313057534
F3AE000021,F3AV001567,WSm2,P00,73.20974568095586,73.24075641720763,0.03101073625177264,0.03101073625177264,1.000423587542387
F3AE000021,F3AV001568,WSm2,P01,73.20974568095586,73.28486626249376,0.07512058153790235,0.07512058153790235,1.0010261008399792
F3AE000021,F3AV001572,WSm2,P05,73.20974568095586,73.25496360296118,0.04521792200532104,0.04521792200532104,1.0006176489425653
F3AE000021,F3AV001573,WSm1,P00,73.20974568095586,73.2101416438791,0.0003959629232355155,0.0003959629232355155,1.0000054086094625
F3AE000021,F3AV001574,WSm1,P01,73.20974568095586,73.2524631378503,0.04271745689443662,0.04271745689443662,1.0005834941304208
F3AE000021,F3AV001578,WSm1,P05,73.20974568095586,73.22333915807191,0.013593477116046415,0.013593477116046415,1.000185678518476
F3AE000021,F3AV001579,WSp1,P00,73.20974568095586,73.22007310647592,0.010327425520060274,0.010327425520060274,1.0001410662668475
F3AE000021,F3AV001580,WSp1,P01,73.20974568095586,73.24860227487278,0.038856593916918314,0.038856593916918314,1.0005307571219582
F3AE000021,F3AV001583,WSp1,P04,73.20974568095586,73.17304205472188,-0.0367036262339866,0.0367036262339866,0.9994986510895156
