job_id,planned_decision_id,variant_id,external_optimizer_seed,model_id,full_plan_match,payload_match,scientific_key_match,canary_result_core_sha256,imported_result_core_sha256,result_core_match,source_checkpoint_sha256,bootstrap_status
F3AJ0000206,F3ADP000115,F3AV000115,0,M1,true,true,true,aa936486dcc12010b52ab04e8fc1ed769568ab44d467073d3b8678286ceeb311,aa936486dcc12010b52ab04e8fc1ed769568ab44d467073d3b8678286ceeb311,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000207,F3ADP000115,F3AV000115,0,M2,true,true,true,7242a11081cf443c8783dcf58a84986572188c5887596c85a3761f79cd9c6ada,7242a11081cf443c8783dcf58a84986572188c5887596c85a3761f79cd9c6ada,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000220,F3ADP000122,F3AV000122,0,M0,true,true,true,d9c5e55aa2332efe6149abe187b22bf3d0d84ed4958e5bc239ad0bc3db87033a,d9c5e55aa2332efe6149abe187b22bf3d0d84ed4958e5bc239ad0bc3db87033a,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000221,F3ADP000122,F3AV000122,0,M1,true,true,true,16275e165aa490b5b744dfd013666e8a999794a9c5eadef5e39a60cb6aa97dce,16275e165aa490b5b744dfd013666e8a999794a9c5eadef5e39a60cb6aa97dce,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000222,F3ADP000122,F3AV000122,0,M2,true,true,true,e8c95873f7498c1f714dc7c5f5834414064d72c35139f86517aaaa0f8df4b629,e8c95873f7498c1f714dc7c5f5834414064d72c35139f86517aaaa0f8df4b629,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000259,F3ADP000143,F3AV000143,0,M0,true,true,true,bd7e975026b1c49d9a77bbb96b0b8b66160db3e3211822bbedb605f31010fd41,bd7e975026b1c49d9a77bbb96b0b8b66160db3e3211822bbedb605f31010fd41,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000260,F3ADP000143,F3AV000143,0,M1,true,true,true,1fc9f2e080dd6da62ca1ffcf1645c6c1d2afb8e8e5c313a8d4170b10ea802148,1fc9f2e080dd6da62ca1ffcf1645c6c1d2afb8e8e5c313a8d4170b10ea802148,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000261,F3ADP000143,F3AV000143,0,M2,true,true,true,d6dc9175659ce1cee67a612dad6c5ec6101f5619118a8b4d3f4147869587a052,d6dc9175659ce1cee67a612dad6c5ec6101f5619118a8b4d3f4147869587a052,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000274,F3ADP000150,F3AV000150,0,M0,true,true,true,e0488db615127d98568b2df0decd70775c7c402de09594df88d6778a55c0b7b5,e0488db615127d98568b2df0decd70775c7c402de09594df88d6778a55c0b7b5,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000275,F3ADP000150,F3AV000150,0,M1,true,true,true,d92cc6c6ef7b601ca58f23e317f8be32df49f70fcfa3c32831f018698ae96672,d92cc6c6ef7b601ca58f23e317f8be32df49f70fcfa3c32831f018698ae96672,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
F3AJ0000276,F3ADP000150,F3AV000150,0,M2,true,true,true,2763203b87bdc6d7b2af8edbbd12862d64074ad465036a6fc8d9d5cafad9fab0,2763203b87bdc6d7b2af8edbbd12862d64074ad465036a6fc8d9d5cafad9fab0,true,9781b13889d2a66e33be973f555b081f5d4de6d97c155a73fd93f5118d2073ca,IMPORTED_VALIDATED_CANARY_RESULT
