phase3a_event_id,pair_id,source_work_id,source_row_number,source_event_identifier,canonical_source_event_key,tic_id,sector,source_start_time,source_peak_time,source_end_time,observational_reference_role,matching_level,matched_partner_event_id,membership_status,membership_reason
F3AE000023,F3AP0012,BAIIW0001,1890,SRC_a42fccb9e0627ab1fada448ae7a7707f4f2da7c9570d5a978b758a0b3d65c584,BAIIW0001|TIC220433364|S31|SRC_a42fccb9e0627ab1fada448ae7a7707f4f2da7c9570d5a978b758a0b3d65c584,220433364,31,2165.124807,2165.125964,2165.144483,PUBLISHED_QPP_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000024,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000024,F3AP0012,BAIIW0001,1892,SRC_8c8a30df0c7819f5db0ef3279e722f632108d276172d448b2e1523b80b89d8a7,BAIIW0001|TIC220433364|S33|SRC_8c8a30df0c7819f5db0ef3279e722f632108d276172d448b2e1523b80b89d8a7,220433364,33,2202.726538,2202.727,2202.736491,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_ANY_SECTOR,F3AE000023,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000025,F3AP0013,BAIIW0001,1939,SRC_bea3a759c10053b5051a3c9cc560950fcd646ebd106cdcbad5eca8226748cb3c,BAIIW0001|TIC225953237|S38|SRC_bea3a759c10053b5051a3c9cc560950fcd646ebd106cdcbad5eca8226748cb3c,225953237,38,2345.223856,2345.224319,2345.228023,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000026,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000026,F3AP0013,BAIIW0001,1940,SRC_045e8f8d0a22c7306186df1b71410aa811f951b24e9b345b4b7fd73a5cc691c6,BAIIW0001|TIC225953237|S38|SRC_045e8f8d0a22c7306186df1b71410aa811f951b24e9b345b4b7fd73a5cc691c6,225953237,38,2349.891231,2349.891925,2349.894703,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000025,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000027,F3AP0014,BAIIW0001,2096,SRC_bddb856d2e12e3ccc1d33a59325166a98a814aa9bd7fdcf1b896af46327e1d17,BAIIW0001|TIC231914259|S28|SRC_bddb856d2e12e3ccc1d33a59325166a98a814aa9bd7fdcf1b896af46327e1d17,231914259,28,2071.283587,2071.284282,2071.290763,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000028,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000028,F3AP0014,BAIIW0001,2097,SRC_2096eef46db4730ce766450a761371d7a16ecc9c7522350321beb405a5bc80dd,BAIIW0001|TIC231914259|S28|SRC_2096eef46db4730ce766450a761371d7a16ecc9c7522350321beb405a5bc80dd,231914259,28,2077.901913,2077.902376,2077.909783,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000027,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000029,F3AP0015,BAIIW0001,2140,SRC_7c67f7d5d854bb5868a21473e436b07534622864e9cf07a5c15da1835057c407,BAIIW0001|TIC233342788|S76|SRC_7c67f7d5d854bb5868a21473e436b07534622864e9cf07a5c15da1835057c407,233342788,76,3377.944229,3377.945618,3377.961358,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000030,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000030,F3AP0015,BAIIW0001,2141,SRC_fce00f324d8381a044bbe3e90fe0a1c78862490bb33bada8146cc8991d4d1cdd,BAIIW0001|TIC233342788|S76|SRC_fce00f324d8381a044bbe3e90fe0a1c78862490bb33bada8146cc8991d4d1cdd,233342788,76,3383.737097,3383.737329,3383.766727,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000029,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
F3AE000031,F3AP0016,BAIIW0001,2166,SRC_eb0b88f4c884fb9625488480428ebb36288c74334047998f494b559d73a4f9af,BAIIW0001|TIC233745344|S52|SRC_eb0b88f4c884fb9625488480428ebb36288c74334047998f494b559d73a4f9af,233745344,52,2732.799429,2732.800123,2732.806373,PUBLISHED_QPP_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000032,FROZEN_MEMBER,ALL_SOURCE_QPP_REFERENCES
F3AE000032,F3AP0016,BAIIW0001,2167,SRC_3d026782ee3b8ce85fd1b6867ff9158dd0a13f6f9d0a51e828dc0c2007fe142f,BAIIW0001|TIC233745344|S52|SRC_3d026782ee3b8ce85fd1b6867ff9158dd0a13f6f9d0a51e828dc0c2007fe142f,233745344,52,2738.591131,2738.592288,2738.596686,PUBLISHED_NOT_SELECTED_REFERENCE,SAME_TIC_SAME_SECTOR,F3AE000031,FROZEN_MEMBER,DETERMINISTIC_1_TO_1_MATCH_WITHOUT_REPLACEMENT
