matrix_cell_id,window_variant_id,processing_profile_id,observational_reference_role,planned_event_count,planned_variant_rows,eligible_count,inadmissible_count,incomplete_count,reference_concordant_baseline_count,transition_count,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_count,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissibility_reason_counts
F3AC026,WSp2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,46,15,0,57,46,0,0,46,0,46,46,1.0,"{""PEAK_OUTSIDE_WINDOW"":7,""TOO_FEW_CADENCES"":8}"
F3AC026,WSp2,P01,PUBLISHED_QPP_REFERENCE,61,,49,12,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":7}"
F3AC027,WSp2,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,12,49,0,57,12,0,0,12,0,12,12,1.0,"{""IRREGULAR_SAMPLING"":28,""PEAK_OUTSIDE_WINDOW"":7,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":9}"
F3AC027,WSp2,P02,PUBLISHED_QPP_REFERENCE,61,,10,51,0,8,2,1,1,0,0,1,2,0.5,"{""IRREGULAR_SAMPLING"":33,""PEAK_OUTSIDE_WINDOW"":5,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":8}"
F3AC028,WSp2,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,12,49,0,57,12,0,0,12,0,12,12,1.0,"{""IRREGULAR_SAMPLING"":28,""PEAK_OUTSIDE_WINDOW"":7,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":9}"
F3AC028,WSp2,P03,PUBLISHED_QPP_REFERENCE,61,,10,51,0,8,2,1,1,0,0,1,2,0.5,"{""IRREGULAR_SAMPLING"":33,""PEAK_OUTSIDE_WINDOW"":5,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":8}"
F3AC029,WSp2,P04,PUBLISHED_NOT_SELECTED_REFERENCE,61,,46,15,0,57,46,0,0,46,0,46,46,1.0,"{""PEAK_OUTSIDE_WINDOW"":7,""TOO_FEW_CADENCES"":8}"
F3AC029,WSp2,P04,PUBLISHED_QPP_REFERENCE,61,,49,12,0,8,7,6,1,0,0,6,7,0.8571428571428571,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":7}"
F3AC030,WSp2,P05,PUBLISHED_NOT_SELECTED_REFERENCE,61,,46,15,0,57,46,0,0,46,0,46,46,1.0,"{""PEAK_OUTSIDE_WINDOW"":7,""TOO_FEW_CADENCES"":8}"
F3AC030,WSp2,P05,PUBLISHED_QPP_REFERENCE,61,,49,12,0,8,7,3,4,0,0,3,7,0.42857142857142855,"{""PEAK_OUTSIDE_WINDOW"":5,""TOO_FEW_CADENCES"":7}"
F3AC031,WEm2,P00,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC031,WEm2,P00,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,6,1,0,0,6,7,0.8571428571428571,"{""TOO_FEW_CADENCES"":8}"
F3AC032,WEm2,P01,PUBLISHED_NOT_SELECTED_REFERENCE,61,,51,10,0,57,51,0,0,51,0,51,51,1.0,"{""TOO_FEW_CADENCES"":10}"
F3AC032,WEm2,P01,PUBLISHED_QPP_REFERENCE,61,,53,8,0,8,7,4,3,0,0,4,7,0.5714285714285714,"{""TOO_FEW_CADENCES"":8}"
F3AC033,WEm2,P02,PUBLISHED_NOT_SELECTED_REFERENCE,61,,14,47,0,57,14,0,0,14,0,14,14,1.0,"{""IRREGULAR_SAMPLING"":31,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11}"
F3AC033,WEm2,P02,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,3,0,0,0,3,3,1.0,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
F3AC034,WEm2,P03,PUBLISHED_NOT_SELECTED_REFERENCE,61,,14,47,0,57,14,0,0,14,0,14,14,1.0,"{""IRREGULAR_SAMPLING"":31,""PEAK_REMOVED_BY_QUALITY"":5,""TOO_FEW_CADENCES"":11}"
F3AC034,WEm2,P03,PUBLISHED_QPP_REFERENCE,61,,12,49,0,8,3,2,1,0,0,2,3,0.6666666666666666,"{""IRREGULAR_SAMPLING"":35,""PEAK_REMOVED_BY_QUALITY"":6,""TOO_FEW_CADENCES"":8}"
