payload_id,variant_id,offset,length,time_sha256,flux_sha256,native_index_sha256,logical_payload_sha256,n_samples,first_time_s,last_time_s,time_dtype,flux_dtype,native_index_dtype
F3APAY000023,F3AV000041,658,29,e484feaa875b30c91f5c6d21da032cb7812cf4556cf79151f1065514ff7f0c4e,4661f914064524f3f52ccd41bfdca256d746b25f9da13c2d645502db1f7a9404,f5ef912f3545601495ef164c8ffbd72d8a797baa155d661b7d1bf158b35cbbe5,ec55342d33d49222301cdda6f7d385478397294f51b89158eb84b428be908b64,29,0.0,560.0046399253188,<f8,<f8,<i8
F3APAY000024,F3AV000042,687,29,e484feaa875b30c91f5c6d21da032cb7812cf4556cf79151f1065514ff7f0c4e,f3a4784905546d43b802ee7b4bd658b320809371d0e150c7a7db09014a54c104,f5ef912f3545601495ef164c8ffbd72d8a797baa155d661b7d1bf158b35cbbe5,7e1df7898ca977357ca6c741941c000598831cb527fb5d3bb7202df83fe074fb,29,0.0,560.0046399253188,<f8,<f8,<i8
F3APAY000025,F3AV000043,716,31,bae4ad116c82ebd76474dd53e67de69f4eebcd8568d553c7f5f69f76e1745603,0fdfa2cee595f17b5e574d47a6e35eadba318a89c6193b3f00d5271b2f95c25d,254c1c826a13863d3ca1c71c9198a875735676fbc6006e92b1add6eaeced89f0,a4b8cc8929fd344468d068b4b564cfa37e4c9da4df14a30a317a897f36a929f4,31,0.0,600.0049626934924,<f8,<f8,<i8
F3APAY000026,F3AV000044,747,31,bae4ad116c82ebd76474dd53e67de69f4eebcd8568d553c7f5f69f76e1745603,f3cfb1ee18cf32e489ab0e3aee2e0dbcaf013d7fac2f19fba53bf26d06cd725e,254c1c826a13863d3ca1c71c9198a875735676fbc6006e92b1add6eaeced89f0,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,31,0.0,600.0049626934924,<f8,<f8,<i8
F3APAY000027,F3AV000047,778,31,bae4ad116c82ebd76474dd53e67de69f4eebcd8568d553c7f5f69f76e1745603,d4691d4971bd034b622c1b52a709384a025e57831b347dbb2be315430217b90f,254c1c826a13863d3ca1c71c9198a875735676fbc6006e92b1add6eaeced89f0,455851c21fd6f812e47458aebc84268323159bfae0b499accff7b521f3fce691,31,0.0,600.0049626934924,<f8,<f8,<i8
F3APAY000028,F3AV000048,809,31,bae4ad116c82ebd76474dd53e67de69f4eebcd8568d553c7f5f69f76e1745603,a964b3d080843c9058288843e0b9206abda3dd64a5be6c577692c6de1e16d6e8,254c1c826a13863d3ca1c71c9198a875735676fbc6006e92b1add6eaeced89f0,7b2320537f54e5b9ec0b9ca0275db0171e713c708d078d491ec77fa722b39e17,31,0.0,600.0049626934924,<f8,<f8,<i8
F3APAY000029,F3AV000049,840,32,878c1cd7a4eb661ce8c41b0a675d1b63ed979aa004baa4a73092149f0568d746,818c2b61e54e080e6c22864ad7d904f959d422495a30670484d9dc152183950a,12338f3c6d0c3f8bed0ad3c432e78b7e37833d8524c723537bc6b3908cd24a32,9cbcba86f66dd6b6b6501221b818afc1aa26b2941001c90493d3480f1eb7b068,32,0.0,620.0051341947983,<f8,<f8,<i8
F3APAY000030,F3AV000050,872,32,878c1cd7a4eb661ce8c41b0a675d1b63ed979aa004baa4a73092149f0568d746,b6cf1249d2fc2ffb6297663677a20a0706397b75abc0831f8416883e8182d343,12338f3c6d0c3f8bed0ad3c432e78b7e37833d8524c723537bc6b3908cd24a32,0f4b3b2fb0b4e314b887ca903e963e5e0a630e37e5f1e7389b2e5a510deea4ff,32,0.0,620.0051341947983,<f8,<f8,<i8
F3APAY000031,F3AV000053,904,32,878c1cd7a4eb661ce8c41b0a675d1b63ed979aa004baa4a73092149f0568d746,f031c750d1d318bdc47430e368d088396e362bdc47fec343cfbfeb9f4a1aca68,12338f3c6d0c3f8bed0ad3c432e78b7e37833d8524c723537bc6b3908cd24a32,5c82d62800ed0d8ee1c6331fa87719dae8df40cc273f0642f4aa6b817ed500bb,32,0.0,620.0051341947983,<f8,<f8,<i8
F3APAY000032,F3AV000054,936,32,878c1cd7a4eb661ce8c41b0a675d1b63ed979aa004baa4a73092149f0568d746,7ae65869c1d044f9977ce0c145f44b0fd57dde6f04f6d7cd39860215e3dfc715,12338f3c6d0c3f8bed0ad3c432e78b7e37833d8524c723537bc6b3908cd24a32,85ec81818881e8965328a203d55aded6bac2bdcb26d46b941edede74e9347584,32,0.0,620.0051341947983,<f8,<f8,<i8
