phase3a_event_id,tic_id,sector,source_time_system,source_time_unit,source_start_time,source_peak_time,source_end_time,native_timesys,native_bjdref,native_timeunit,source_start_index,source_peak_index,source_end_index,start_mapping_residual_s,peak_mapping_residual_s,end_mapping_residual_s,start_le_peak_le_end,w00_includes_peak,mapping_reproducible,time_mapping_status,mapping_notes
F3AE000035,239134011,45,TBJD,d,2546.421667,2546.422593,2546.429075,TDB,2457000.000000000000,d,90361,90365,90393,0.024268203,0.023183716,0.015430704,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000036,239134011,45,TBJD,d,2547.929867,2547.930793,2547.93357,TDB,2457000.000000000000,d,96876,96880,96892,-0.038610412,-0.039976610,0.042324826,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000037,24518895,32,TBJD,d,2198.799707,2198.800633,2198.805725,TDB,2457000.000000000000,d,106175,106179,106201,-0.012784432,-0.020185443,0.025428049,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000038,24518895,32,TBJD,d,2180.577182,2180.577876,2180.584821,TDB,2457000.000000000000,d,27454,27457,27487,-0.016005480,0.023373841,-0.014793928,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000039,268510757,70,TBJD,d,3210.227137,3210.228295,3210.235703,TDB,2457000.000000000000,d,8111,8116,8148,0.004829744,-0.036780511,-0.026588130,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000040,118820774,70,TBJD,d,3224.070179,3224.070411,3224.07805,TDB,2457000.000000000000,d,67908,67909,67942,0.025725357,-0.017333763,0.030516676,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000041,273416539,68,TBJD,d,3161.753388,3161.754545,3161.757786,TDB,2457000.000000000000,d,30869,30874,30888,-0.025294030,0.008451355,-0.017981265,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000042,273416539,68,TBJD,d,3177.1568,3177.157262,3177.159114,TDB,2457000.000000000000,d,97413,97415,97423,-0.042045944,0.040069295,0.022890100,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000043,289840928,68,TBJD,d,3175.262856,3175.263782,3175.266791,TDB,2457000.000000000000,d,89219,89223,89236,-0.034346721,-0.042875910,-0.027315627,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000044,52153067,68,TBJD,d,3175.49004,3175.490734,3175.493975,TDB,2457000.000000000000,d,90214,90217,90231,-0.019743350,0.018146048,-0.006576664,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000045,294750180,30,TBJD,d,2140.849793,2140.850719,2140.857663,TDB,2457000.000000000000,d,107872,107876,107906,-0.021472196,-0.028976619,0.001149434,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000046,294750180,30,TBJD,d,2124.459706,2124.461095,2124.467345,TDB,2457000.000000000000,d,37066,37072,37099,0.038674533,0.027733517,0.021683931,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000047,303443210,63,TBJD,d,3014.444384,3014.445078,3014.458504,TDB,2457000.000000000000,d,351,354,412,-0.031303737,0.008426759,0.027750098,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000048,303443210,63,TBJD,d,3023.343158,3023.343853,3023.358436,TDB,2457000.000000000000,d,38793,38796,38859,0.016872339,-0.030219603,0.017659871,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000049,303443210,64,TBJD,d,3051.696196,3051.696428,3051.705687,TDB,2457000.000000000000,d,45732,45733,45773,0.003164627,-0.041614342,-0.018513136,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000050,303443210,64,TBJD,d,3060.339485,3060.340642,3060.348049,TDB,2457000.000000000000,d,83071,83076,83108,-0.034218596,0.000694414,0.034023442,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000051,306485634,71,TBJD,d,3252.613374,3252.613837,3252.618004,TDB,2457000.000000000000,d,80263,80265,80283,0.039005475,0.035506174,0.003851891,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000052,306485634,70,TBJD,d,3209.389742,3209.390436,3209.394372,TDB,2457000.000000000000,d,4482,4485,4502,-0.001609208,0.040585293,-0.008165244,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000053,308543286,35,TBJD,d,2262.273155,2262.274081,2262.276164,TDB,2457000.000000000000,d,31488,31492,31501,0.003210753,-0.002178365,0.028875800,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000054,308543286,35,TBJD,d,2263.83197,2263.832665,2263.834516,TDB,2457000.000000000000,d,38222,38225,38233,0.008567772,-0.038744549,0.036695959,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000055,322950055,67,TBJD,d,3150.217615,3150.218541,3150.230577,TDB,2457000.000000000000,d,101867,101871,101923,-0.022758557,-0.031025955,0.034297412,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000056,322950055,66,TBJD,d,3113.728085,3113.729473,3113.734103,TDB,2457000.000000000000,d,69375,69381,69401,-0.040963382,0.035418989,0.002016647,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000057,325525541,67,TBJD,d,3144.016168,3144.018251,3144.024038,TDB,2457000.000000000000,d,75072,75081,75106,-0.042467646,-0.014977570,-0.015427482,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000058,325525541,66,TBJD,d,3105.804841,3105.805535,3105.808313,TDB,2457000.000000000000,d,35145,35148,35160,-0.037787794,0.001570075,-0.013798158,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000059,33878971,35,TBJD,d,2259.762276,2259.763202,2259.768295,TDB,2457000.000000000000,d,20650,20654,20676,0.001403209,-0.004760515,-0.038645694,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000060,33878971,38,TBJD,d,2356.486688,2356.488077,2356.493169,TDB,2457000.000000000000,d,97799,97805,97827,-0.021046370,-0.028833839,0.029007855,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000061,339668420,33,TBJD,d,2221.134677,2221.136297,2221.161297,TDB,2457000.000000000000,d,83840,83847,83955,-0.040898554,-0.006899079,0.023900211,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000062,339668420,34,TBJD,d,2233.36005,2233.361439,2233.381116,TDB,2457000.000000000000,d,19938,19944,20029,0.042508311,0.034182252,-0.040690512,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000063,345451496,71,TBJD,d,3252.22119,3252.221421,3252.263552,TDB,2457000.000000000000,d,78570,78571,78753,-0.016235092,0.025919333,0.013578565,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000064,60874953,71,TBJD,d,3235.99131,3235.992005,3236.013071,TDB,2457000.000000000000,d,8462,8465,8556,0.015145064,-0.028697148,-0.004722600,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000065,345451496,71,TBJD,d,3252.217949,3252.218412,3252.267487,TDB,2457000.000000000000,d,78556,78558,78770,-0.002039828,-0.004050502,0.039446860,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000066,245823882,71,TBJD,d,3235.433769,3235.434464,3235.452289,TDB,2457000.000000000000,d,6054,6057,6134,0.022013340,-0.021708134,0.008133262,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000067,346580515,53,TBJD,d,2757.223577,2757.224734,2757.229364,TDB,2457000.000000000000,d,57150,57155,57175,-0.024929103,0.011028201,-0.017982718,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000068,160619243,53,TBJD,d,2764.624445,2764.625602,2764.630463,TDB,2457000.000000000000,d,89146,89151,89172,-0.004453973,0.030447289,0.038822579,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000069,348898049,33,TBJD,d,2203.079285,2203.080442,2203.085767,TDB,2457000.000000000000,d,5844,5849,5872,-0.001010190,0.035603535,-0.037890537,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
F3AE000070,348898049,61,TBJD,d,2982.443524,2982.44445,2982.450469,TDB,2457000.000000000000,d,84891,84895,84921,0.032948266,0.026843084,-0.012840578,true,true,true,TIME_MAPPING_VALID,TBJD_NUMERIC_COMPATIBLE_WITH_TESS_BTJD
