job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status
F3AJ0000025,25,F3ADP000013,PRIMARY,F3AE000001,F3AV000013,F3AC013,WSm1,P00,0,M0,pow_const,F3APAY000009,2bec4f02977a36bc6400602010352c52b5926c47a47de4aa901ed8545bc78f1e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000026,26,F3ADP000013,PRIMARY,F3AE000001,F3AV000013,F3AC013,WSm1,P00,0,M1,pow_const_gauss,F3APAY000009,2bec4f02977a36bc6400602010352c52b5926c47a47de4aa901ed8545bc78f1e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000027,27,F3ADP000013,PRIMARY,F3AE000001,F3AV000013,F3AC013,WSm1,P00,0,M2,bpow_const,F3APAY000009,2bec4f02977a36bc6400602010352c52b5926c47a47de4aa901ed8545bc78f1e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000028,28,F3ADP000014,PRIMARY,F3AE000001,F3AV000014,F3AC014,WSm1,P01,0,M0,pow_const,F3APAY000010,4e2ae2b4a319fbc3d52af1e7b36c94aef711430067dd372cae9605143a768493,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000029,29,F3ADP000014,PRIMARY,F3AE000001,F3AV000014,F3AC014,WSm1,P01,0,M1,pow_const_gauss,F3APAY000010,4e2ae2b4a319fbc3d52af1e7b36c94aef711430067dd372cae9605143a768493,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000030,30,F3ADP000014,PRIMARY,F3AE000001,F3AV000014,F3AC014,WSm1,P01,0,M2,bpow_const,F3APAY000010,4e2ae2b4a319fbc3d52af1e7b36c94aef711430067dd372cae9605143a768493,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000031,31,F3ADP000017,PRIMARY,F3AE000001,F3AV000017,F3AC017,WSm1,P04,0,M0,pow_const,F3APAY000011,8982f8697861aa999435713bbb64b32ddc0bf8a4a82570b8925c258989ba81c9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000032,32,F3ADP000017,PRIMARY,F3AE000001,F3AV000017,F3AC017,WSm1,P04,0,M1,pow_const_gauss,F3APAY000011,8982f8697861aa999435713bbb64b32ddc0bf8a4a82570b8925c258989ba81c9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000033,33,F3ADP000017,PRIMARY,F3AE000001,F3AV000017,F3AC017,WSm1,P04,0,M2,bpow_const,F3APAY000011,8982f8697861aa999435713bbb64b32ddc0bf8a4a82570b8925c258989ba81c9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
F3AJ0000034,34,F3ADP000018,PRIMARY,F3AE000001,F3AV000018,F3AC018,WSm1,P05,0,M0,pow_const,F3APAY000012,368043c25c6f2797ab3ed6758545317e76952687dba74b0ab76395bdb0fb4ac5,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED
