planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,decision_status
F3ADP000054,32,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000054,F3AC054,WEp2,P05,0,F3APAY000032,85ec81818881e8965328a203d55aded6bac2bdcb26d46b941edede74e9347584,32,37.118944586044094,39.86737373234341,42.5047298706204,-2.7484291462993156,2.637356138276992,false,56.30231291218663,formal_m1_center_not_selected,VALID
F3ADP000055,33,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000055,F3AC055,WX1,P00,0,F3APAY000033,8e0fecb18a148d7ebf4ee4d70a855340ec9729858c6963d3e04c8fdec4802060,32,28.40186686872204,30.523110781332434,31.50701607155002,-2.121243912610396,0.9839052902175851,false,63.20804387925041,formal_m1_center_not_selected,VALID
F3ADP000056,34,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000056,F3AC056,WX1,P01,0,F3APAY000034,abab5f9396ae76ffc2f0ed1543dc15cd7aa3ba8b33f43d7d6ab895c2b4371e62,32,28.197656663997932,31.494666163078023,32.052437300238566,-3.2970094990800902,0.5577711371605432,false,62.3876024928704,formal_m1_center_not_selected,VALID
F3ADP000059,35,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000059,F3AC059,WX1,P04,0,F3APAY000035,312b9a2ca7e606a0010de42d8705d6ee122ab01066f92a2c6c474bf1fed6e764,32,32.5785704705962,34.91625955787364,36.02254877348376,-2.3376890872774396,1.1062892156101256,false,63.17542604563928,formal_m1_center_not_selected,VALID
F3ADP000060,36,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000060,F3AC060,WX1,P05,0,F3APAY000036,528ccc74ce254e3c1d729389a17417d229eb60d373f18cbedd9c30b94a9a5285,32,32.37799578987196,35.85415143742467,36.57339907204669,-3.4761556475527087,0.7192476346220218,false,62.332227678434634,formal_m1_center_not_selected,VALID
F3ADP000061,37,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000061,F3AC061,WC1,P00,0,F3APAY000037,9b982a4bf666b40e9b37660ace35eb3dc533bae4796cebbff9d0e8cb932be078,28,36.67270032706026,40.07769584461185,41.193777730761454,-3.4049955175515905,1.1160818861496011,false,63.39984988681041,formal_m1_center_not_selected,VALID
F3ADP000062,38,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000062,F3AC062,WC1,P01,0,F3APAY000038,0de9eed7c50e5bbce03a3b17a54afd4b2e6b8f9efa9c60a0cc35330b30629869,28,36.95349202283742,41.22767458276056,42.05315204762716,-4.274182559923133,0.8254774648666015,false,60.38543951256868,formal_m1_center_not_selected,VALID
F3ADP000065,39,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000065,F3AC065,WC1,P04,0,F3APAY000039,86dbf7c3592073bfc61503974a06caab368c47e86de80954506829ce95a729ff,28,33.64448698306388,38.66913594106764,39.6714372473529,-5.024648958003759,1.0023013062852613,false,148.35446323074277,formal_m1_center_not_selected,VALID
F3ADP000066,40,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000066,F3AC066,WC1,P05,0,F3APAY000040,e5a74f4a71dbd342e72f6102c6e71c23dacc8a9b1c1d5d5bdc50b86fb6b34033,28,34.20606985286111,38.74532860449385,40.07483945213043,-4.539258751632737,1.329510847636584,false,147.45569317757955,formal_m1_center_not_selected,VALID
F3ADP000067,41,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000067,F3AC067,WX2,P00,0,F3APAY000041,64778d9b306b8dd4be18047f28d0a1fb1c072b6ecbd3d94c9c319d8a3cb2d133,34,21.492859236517564,23.35538097981084,25.060781165236563,-1.862521743293275,1.7054001854257237,false,63.043056650446275,formal_m1_center_not_selected,VALID
F3ADP000068,42,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000068,F3AC068,WX2,P01,0,F3APAY000042,486588472f4b658e75893d5a90ed31cbce3a2fe823358d50d5fcd70dede40664,34,21.29196101742053,24.474524952606245,25.60607262917933,-3.1825639351857156,1.131547676573085,false,62.532243311299226,formal_m1_center_not_selected,VALID
F3ADP000071,43,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000071,F3AC071,WX2,P04,0,F3APAY000043,b00d6155cb3b6b6469111197515c032112b5fce1906109ef615426e38acb233e,34,21.280559664541578,23.13320668300875,24.83542215461685,-1.8526470184671737,1.702215471608099,false,63.04310505211123,formal_m1_center_not_selected,VALID
F3ADP000072,44,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000072,F3AC072,WX2,P05,0,F3APAY000044,d1b899af1dbd794b8b4261c9bc3a3fc8d40a17b01773018d7f990b2d70d57506,34,20.826553470185733,23.99002176371402,25.119429864892858,-3.163468293528286,1.1294081011788393,false,62.53238690377893,formal_m1_center_not_selected,VALID
