phase3a_event_id,pair_id,observational_reference_role,baseline_gate_state,planned_cells,eligible_cells,inadmissible_cells,transition_eligible_cells,selected_retained,selection_lost,not_selected_retained,selection_gained,classification_concordant_cells,classification_concordance_denominator,classification_concordance_fraction_among_eligible,inadmissible_irregular_sampling,inadmissible_too_few_cadences,inadmissible_peak_removed_by_quality,inadmissible_peak_outside_window,inadmissible_window_out_of_range
F3AE000060,F3AP0030,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000061,F3AP0031,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000062,F3AP0031,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000063,F3AP0032,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,44,34,0,0,0,0,0,0,0,,22,0,0,12,0
F3AE000064,F3AP0032,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000065,F3AP0033,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000066,F3AP0033,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000067,F3AP0034,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000068,F3AP0034,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000069,F3AP0035,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000070,F3AP0035,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000071,F3AP0036,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000072,F3AP0036,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000073,F3AP0037,PUBLISHED_QPP_REFERENCE,INPUT_INADMISSIBLE,78,0,78,0,0,0,0,0,0,0,,0,44,22,12,0
F3AE000074,F3AP0037,PUBLISHED_NOT_SELECTED_REFERENCE,INPUT_INADMISSIBLE,78,0,78,0,0,0,0,0,0,0,,0,66,0,12,0
F3AE000075,F3AP0038,PUBLISHED_QPP_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,23,29,0,0,23,52,0.4423076923076923,26,0,0,0,0
F3AE000076,F3AP0038,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,0,0,26,0,0
F3AE000077,F3AP0039,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,24,2,0,0,0
F3AE000078,F3AP0039,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,44,34,44,0,0,44,0,44,44,1.0,22,0,0,12,0
F3AE000079,F3AP0040,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,24,2,0,0,0
F3AE000080,F3AP0040,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000081,F3AP0041,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,28,50,0,0,0,0,0,0,0,,2,48,0,0,0
F3AE000082,F3AP0041,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000083,F3AP0042,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000084,F3AP0042,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000085,F3AP0043,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000086,F3AP0043,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000087,F3AP0044,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000088,F3AP0044,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000089,F3AP0045,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000091,F3AP0046,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000092,F3AP0046,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000093,F3AP0047,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000094,F3AP0047,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000095,F3AP0048,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000096,F3AP0048,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000097,F3AP0049,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,44,34,0,0,0,0,0,0,0,,22,0,0,12,0
F3AE000098,F3AP0049,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000099,F3AP0050,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000100,F3AP0050,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,62,16,62,0,0,62,0,62,62,1.0,4,0,0,12,0
F3AE000101,F3AP0051,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000102,F3AP0051,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000103,F3AP0052,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,48,30,0,0,0,0,0,0,0,,14,16,0,0,0
F3AE000104,F3AP0052,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000105,F3AP0053,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000106,F3AP0053,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000107,F3AP0054,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000108,F3AP0054,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000109,F3AP0055,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000110,F3AP0055,PUBLISHED_NOT_SELECTED_REFERENCE,INPUT_INADMISSIBLE,78,0,78,0,0,0,0,0,0,0,,0,66,0,6,6
F3AE000111,F3AP0056,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000112,F3AP0056,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000113,F3AP0057,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000114,F3AP0057,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000115,F3AP0058,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,52,26,0,0,0,0,0,0,0,,26,0,0,0,0
F3AE000116,F3AP0058,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
F3AE000117,F3AP0059,PUBLISHED_QPP_REFERENCE,REFERENCE_CONCORDANT,78,60,18,60,54,6,0,0,54,60,0.9,18,0,0,0,0
F3AE000118,F3AP0059,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,78,0,78,0,0,78,0,78,78,1.0,0,0,0,0,0
F3AE000119,F3AP0060,PUBLISHED_QPP_REFERENCE,REFERENCE_CONCORDANT,78,42,36,42,5,37,0,0,5,42,0.11904761904761904,0,36,0,0,0
F3AE000120,F3AP0060,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,28,50,28,0,0,28,0,28,28,1.0,12,38,0,0,0
F3AE000121,F3AP0061,PUBLISHED_QPP_REFERENCE,REFERENCE_BASELINE_MISMATCH,78,78,0,0,0,0,0,0,0,0,,0,0,0,0,0
F3AE000122,F3AP0061,PUBLISHED_NOT_SELECTED_REFERENCE,REFERENCE_CONCORDANT,78,52,26,52,0,0,52,0,52,52,1.0,26,0,0,0,0
