phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,materialization_status,inadmissibility_reason,baseline_gate_state,baseline_qpp_selected,variant_decision_available,variant_qpp_selected,transition_eligible,classification_transition,classification_concordant_with_baseline,formal_m1_period_s,period_role
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006974,F3AC032,WEm2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.35554095784431,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006975,F3AC033,WEm2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006976,F3AC034,WEm2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.35554095784431,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006977,F3AC035,WEm2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006978,F3AC036,WEm2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.28679329796443,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006979,F3AC037,WEm1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006980,F3AC038,WEm1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006981,F3AC039,WEm1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006982,F3AC040,WEm1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006983,F3AC041,WEm1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006984,F3AC042,WEm1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006985,F3AC043,WEp1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006986,F3AC044,WEp1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006987,F3AC045,WEp1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006988,F3AC046,WEp1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006989,F3AC047,WEp1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006990,F3AC048,WEp1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006991,F3AC049,WEp2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006992,F3AC050,WEp2,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.45087630016961,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006993,F3AC051,WEp2,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006994,F3AC052,WEp2,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.45087630016961,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006995,F3AC053,WEp2,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006996,F3AC054,WEp2,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.293842362746375,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006997,F3AC055,WX1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006998,F3AC056,WX1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.45999929261992,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV006999,F3AC057,WX1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007000,F3AC058,WX1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.45999929261992,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007001,F3AC059,WX1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007002,F3AC060,WX1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.38895751434237,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007003,F3AC061,WC1,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.00000000000026,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007004,F3AC062,WC1,P01,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.31818805534892,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007005,F3AC063,WC1,P02,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.00000000000026,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007006,F3AC064,WC1,P03,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.31818805534892,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007007,F3AC065,WC1,P04,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007008,F3AC066,WC1,P05,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,42.14745298800476,formal_m1_center_not_selected
F3AE000090,F3AP0045,PUBLISHED_NOT_SELECTED_REFERENCE,F3AV007009,F3AC067,WX2,P00,ELIGIBLE_FOR_AFINO,,REFERENCE_CONCORDANT,false,true,false,true,NOT_SELECTED_RETAINED,true,40.0,formal_m1_center_not_selected
