job_id,job_order,planned_decision_id,decision_class,phase3a_event_id,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,payload_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,seed_application_contract,selection_rule,execution_status,canary_selection_component,canary_selection_reason
F3AJ0000202,202,F3ADP000114,PRIMARY,F3AE000002,F3AV000114,F3AC036,WEm2,P05,0,M0,pow_const,F3APAY000068,82525c49f7753bd033827c41e004a6f6a5ddc1e7d5b38a73c42ee248b4cd5c42,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000203,203,F3ADP000114,PRIMARY,F3AE000002,F3AV000114,F3AC036,WEm2,P05,0,M1,pow_const_gauss,F3APAY000068,82525c49f7753bd033827c41e004a6f6a5ddc1e7d5b38a73c42ee248b4cd5c42,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000204,204,F3ADP000114,PRIMARY,F3AE000002,F3AV000114,F3AC036,WEm2,P05,0,M2,bpow_const,F3APAY000068,82525c49f7753bd033827c41e004a6f6a5ddc1e7d5b38a73c42ee248b4cd5c42,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3AJ0000205,205,F3ADP000115,PRIMARY,F3AE000002,F3AV000115,F3AC037,WEm1,P00,0,M0,pow_const,F3APAY000069,32d8cbdad867f72c6c2a6753c8d91e894487e2523111bfece45e249480f8c4d9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000206,206,F3ADP000115,PRIMARY,F3AE000002,F3AV000115,F3AC037,WEm1,P00,0,M1,pow_const_gauss,F3APAY000069,32d8cbdad867f72c6c2a6753c8d91e894487e2523111bfece45e249480f8c4d9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000207,207,F3ADP000115,PRIMARY,F3AE000002,F3AV000115,F3AC037,WEm1,P00,0,M2,bpow_const,F3APAY000069,32d8cbdad867f72c6c2a6753c8d91e894487e2523111bfece45e249480f8c4d9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3AJ0000220,220,F3ADP000122,PRIMARY,F3AE000002,F3AV000122,F3AC044,WEp1,P01,0,M0,pow_const,F3APAY000074,e8427048300b0109343176c403c190f8176683e6083e86a2df6f9bcb4a30bba6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000221,221,F3ADP000122,PRIMARY,F3AE000002,F3AV000122,F3AC044,WEp1,P01,0,M1,pow_const_gauss,F3APAY000074,e8427048300b0109343176c403c190f8176683e6083e86a2df6f9bcb4a30bba6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000222,222,F3ADP000122,PRIMARY,F3AE000002,F3AV000122,F3AC044,WEp1,P01,0,M2,bpow_const,F3APAY000074,e8427048300b0109343176c403c190f8176683e6083e86a2df6f9bcb4a30bba6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3AJ0000259,259,F3ADP000143,PRIMARY,F3AE000002,F3AV000143,F3AC065,WC1,P04,0,M0,pow_const,F3APAY000087,91e577597d5d9850daa4edc5319417e2bd541761ba173aa7b2cc4ec52058fc5a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,np.random.seed(external_optimizer_seed) immediately before each model,BIC_M0-BIC_M1>10 AND BIC_M2-BIC_M1>10,NOT_EXECUTED,A_STRUCTURAL_COVERAGE,role=PUBLISHED_NOT_SELECTED_REFERENCE;window=WC1;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
