simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N030_A2_Q002_R023:POS:PRIMARY,F3BBG_N030_A2_Q002_R023,latent_flux.npy,42090,30,22377f548bf2a3a440c853ef605d48faae0645ebee78c230ce7799a71d007c8b,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41770,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,22377f548bf2a3a440c853ef605d48faae0645ebee78c230ce7799a71d007c8b,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,a17c438c5abe19633df770aedeb4cd23ce073d1c18fbb6d9481ebeb3cdb8db88,MATERIALIZED
F3BBG_N030_A2_Q002_R026:NULL:PRIMARY,F3BBG_N030_A2_Q002_R026,latent_flux.npy,42120,30,f6d177194aab5acfce9ecbe6efe12fd91d6ba31bf53845dd9d2499f9e361e539,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41800,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,f6d177194aab5acfce9ecbe6efe12fd91d6ba31bf53845dd9d2499f9e361e539,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,076ce52c7005fd1b5ecb6286a90754ee193719dac3c573ab2c829a74645a4724,MATERIALIZED
F3BBG_N030_A2_Q002_R026:POS:PRIMARY,F3BBG_N030_A2_Q002_R026,latent_flux.npy,42150,30,be16b16ca6c186268ebb12856b3426b89d5b8c2e26a58125f6fd35e55bc35b5d,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41830,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,be16b16ca6c186268ebb12856b3426b89d5b8c2e26a58125f6fd35e55bc35b5d,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,7338c50e7b40bb46208bed824833e6bbeae38a8a44e0b81096bca5c6589d1c08,MATERIALIZED
F3BBG_N030_A2_Q002_R029:NULL:PRIMARY,F3BBG_N030_A2_Q002_R029,latent_flux.npy,42180,30,df2b1762084e0950dfcc624c7316cd08c1294a57c4a45e9354319673b654adc8,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41860,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,df2b1762084e0950dfcc624c7316cd08c1294a57c4a45e9354319673b654adc8,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,c75ce546d48750fcb7e18ee0eb30fa14e81d694658029aa8696a48eef258be18,MATERIALIZED
F3BBG_N030_A2_Q002_R029:POS:PRIMARY,F3BBG_N030_A2_Q002_R029,latent_flux.npy,42210,30,89ac5e357ff26f36e22dd242189168934097e58a3d34afcb5ce84f83ea22847c,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41890,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,89ac5e357ff26f36e22dd242189168934097e58a3d34afcb5ce84f83ea22847c,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,9a6f8f9c0a962f31888c004e54523539e797478b10fc17c478831e943a0a6d1b,MATERIALIZED
F3BBG_N030_A2_Q002_R030:NULL:INTERNALMASK,F3BBG_N030_A2_Q002_R030,latent_flux.npy,42240,30,ecb11712b92dd03c3220cf5924e7b3d39e261755129a2ed03b8e4562ce40c027,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41920,29,fca3e3ceeb1d017bcdd8abb3ce52a3f8dfc072c8420fb9458732453b37fb613a,9eca4ee6449972c0791a098d56385b858ed468275a22b24b0facc684a3097928,d92afed3e89fdf23ca5197994df1a1b733398edddea9b26623ca062c73d928b1,b1035f292b0fc632b1e5ee353cf54cd6bd7844301cae84d7e1e369877f7eeccb,MATERIALIZED
F3BBG_N030_A2_Q002_R030:NULL:PEAKMASK,F3BBG_N030_A2_Q002_R030,latent_flux.npy,42270,30,ecb11712b92dd03c3220cf5924e7b3d39e261755129a2ed03b8e4562ce40c027,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41949,29,e5dba42f60d0266074ad95372eae471518d2a4728dd1f96d8e68ab5a1ab32838,a8f43d84b1db06be51cb05d1196915510750e9962848767b2fa5fcdbc87d3c83,4163d16b26e7f95a4fe1f71dc1993e524ec22ba8c4bc25b0dffe6209979290f5,75dab1479dfc48f1909a0b4a830f1550bbc6666d41f3110b33ec0dee98768bbf,MATERIALIZED
F3BBG_N030_A2_Q002_R030:NULL:PRIMARY,F3BBG_N030_A2_Q002_R030,latent_flux.npy,42300,30,ecb11712b92dd03c3220cf5924e7b3d39e261755129a2ed03b8e4562ce40c027,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,41978,30,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,ecb11712b92dd03c3220cf5924e7b3d39e261755129a2ed03b8e4562ce40c027,394a42f05d4ef71e6c3270cc4fb38075f42683eb24255ab033cbf89ecccf5143,2dfd281986660e63388a2dd0abad85e80eeb88704f01639cb71b8467ee4304f6,MATERIALIZED
F3BBG_N030_A2_Q002_R030:POS:INTERNALMASK,F3BBG_N030_A2_Q002_R030,latent_flux.npy,42330,30,a0356e9a98b8d5375ce7c9258e571ea7e9bf010938cbab6e9921cf07e64d743c,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,42008,29,fca3e3ceeb1d017bcdd8abb3ce52a3f8dfc072c8420fb9458732453b37fb613a,6b3c6f35ede72f7da699b1f839b33b76ac20c13530d629557f55dbbab56923c3,d92afed3e89fdf23ca5197994df1a1b733398edddea9b26623ca062c73d928b1,b10a2250d577d552d1238a30025ebc898a123ad8fed8b3e9029ba7fc49d1b21a,MATERIALIZED
F3BBG_N030_A2_Q002_R030:POS:PEAKMASK,F3BBG_N030_A2_Q002_R030,latent_flux.npy,42360,30,a0356e9a98b8d5375ce7c9258e571ea7e9bf010938cbab6e9921cf07e64d743c,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,42037,29,e5dba42f60d0266074ad95372eae471518d2a4728dd1f96d8e68ab5a1ab32838,b78e99ca730373b7109051322252d37038a0eb084b9a2d09a3fc4250ee56c793,4163d16b26e7f95a4fe1f71dc1993e524ec22ba8c4bc25b0dffe6209979290f5,71050af26ddefd0f937ae07a68bfe6d95b39c856fb99c9b9f0038d692614cec4,MATERIALIZED
