canary_decision_order,planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,input_state,execution_status
19,F3B2D000903,903,BASELINE,F3BBG_N030_A0_Q001_R005:NULL:PRIMARY,F3BBG_N030_A0_Q001_R005,0,37d3ddb051113e06426b3d4b0bc228dccd821430eff0624f0dbc290196884ac0,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
20,F3B2D000904,904,BASELINE,F3BBG_N030_A0_Q001_R005:POS:PRIMARY,F3BBG_N030_A0_Q001_R005,0,db16622e2f91bef8615566a905b3a455352003818fb63bb93a0995620e503636,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
21,F3B2D001005,1005,BASELINE,F3BBG_N030_A0_Q002_R003:NULL:PRIMARY,F3BBG_N030_A0_Q002_R003,0,d04e5a11461ab6c3a94f6a4492178343f3760805ad79fc707e50d6ca6e97bc4c,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
22,F3B2D001006,1006,BASELINE,F3BBG_N030_A0_Q002_R003:POS:PRIMARY,F3BBG_N030_A0_Q002_R003,0,079a702be1a84e0303021a0f019a2c8e7b1e6788db6bec116c17be0389934cb0,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
23,F3B2D001143,1143,BASELINE,F3BBG_N030_A0_Q004_R035:NULL:PRIMARY,F3BBG_N030_A0_Q004_R035,0,bc6c819b13b9329485b0aed71f62300c8f2d5f3a85279be95aa9cb0952d0f822,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
24,F3B2D001144,1144,BASELINE,F3BBG_N030_A0_Q004_R035:POS:PRIMARY,F3BBG_N030_A0_Q004_R035,0,aed9128932457d869d2b62ae9c86e85c77e24e7808ea6937845563a5c23bb2bf,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
25,F3B2D001299,1299,BASELINE,F3BBG_N030_A1_Q001_R095:NULL:PRIMARY,F3BBG_N030_A1_Q001_R095,0,e5d1824adf5338cdbdec4f3b055ba40755b23ae286032423ea41974ccddc34ed,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
26,F3B2D001300,1300,BASELINE,F3BBG_N030_A1_Q001_R095:POS:PRIMARY,F3BBG_N030_A1_Q001_R095,0,3c9944ad1c33f623c61d31bda8568128e028de73ae35500b943295aee04e8d95,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
27,F3B2D001325,1325,BASELINE,F3BBG_N030_A1_Q002_R027:NULL:PRIMARY,F3BBG_N030_A1_Q002_R027,0,bd028e51657f64f915c758005a7548f94ef7e3960e996ffc84f33914086a3a2d,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
28,F3B2D001326,1326,BASELINE,F3BBG_N030_A1_Q002_R027:POS:PRIMARY,F3BBG_N030_A1_Q002_R027,0,d65f697c16cd7924892afe78f07aa17d1f11e866b7dc08944ef7033cf7441bda,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
29,F3B2D001457,1457,BASELINE,F3BBG_N030_A1_Q004_R058:NULL:PRIMARY,F3BBG_N030_A1_Q004_R058,0,7a4c1f92ed172dac6ed7aba32c8ff9854ce0aab5ee544a8a9d7e4256a6d18f42,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
30,F3B2D001458,1458,BASELINE,F3BBG_N030_A1_Q004_R058:POS:PRIMARY,F3BBG_N030_A1_Q004_R058,0,dbafca78eeb7652f9fb75d4b6b7823997fd76bbd39fb85779ddc9de63e552022,ELIGIBLE_FOR_AFINO,NOT_EXECUTED
