planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,truth_state,external_optimizer_seed,payload_logical_sha256,input_state,gap_quality_regime,planned_model_calls,execution_status
F3B2D000457,457,BASELINE,F3BBG_N015_A1_Q002_R065:NULL:PRIMARY,F3BBG_N015_A1_Q002_R065,SYNTHETIC_QPP_ABSENT,0,d3e0449a48f2ad21bbdee0dff31ebe44cda4f5dc9811e099207c30bc47eb5f21,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000458,458,BASELINE,F3BBG_N015_A1_Q002_R065:POS:PRIMARY,F3BBG_N015_A1_Q002_R065,SYNTHETIC_QPP_PRESENT,0,84c009ac684a2a90eb6b0bed9bbb45068f82fd570be67133f69ea843b2658e37,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000459,459,BASELINE,F3BBG_N015_A1_Q002_R066:NULL:PRIMARY,F3BBG_N015_A1_Q002_R066,SYNTHETIC_QPP_ABSENT,0,eaab85ff870728c85b297289dda4f1df1e43d60b69fe60294e748f90aebc84d3,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000460,460,BASELINE,F3BBG_N015_A1_Q002_R066:POS:PRIMARY,F3BBG_N015_A1_Q002_R066,SYNTHETIC_QPP_PRESENT,0,22c604ea483ff25e22bf6811359a9840d83d9995f827a0875215363bcfff7744,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000461,461,BASELINE,F3BBG_N015_A1_Q002_R068:NULL:PRIMARY,F3BBG_N015_A1_Q002_R068,SYNTHETIC_QPP_ABSENT,0,e1c06e400520171330b81ed0fb54b27d7d9bb7e8f908639c58c70f749ed8c828,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000462,462,BASELINE,F3BBG_N015_A1_Q002_R068:POS:PRIMARY,F3BBG_N015_A1_Q002_R068,SYNTHETIC_QPP_PRESENT,0,2924465a6c077d5587266d9de6bdf6d5c4812b848527155b62ae820658aa5242,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000463,463,BASELINE,F3BBG_N015_A1_Q002_R070:NULL:PRIMARY,F3BBG_N015_A1_Q002_R070,SYNTHETIC_QPP_ABSENT,0,4deb64620def0035694f3d51e7a42b100b469fec8cb7548bd133361eff5cf901,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000464,464,BASELINE,F3BBG_N015_A1_Q002_R070:POS:PRIMARY,F3BBG_N015_A1_Q002_R070,SYNTHETIC_QPP_PRESENT,0,516ee462324f3b59ce7cb48f4c59dce9a7296e59c4a4d48a7f521b85a91a6521,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000465,465,BASELINE,F3BBG_N015_A1_Q002_R072:NULL:PRIMARY,F3BBG_N015_A1_Q002_R072,SYNTHETIC_QPP_ABSENT,0,080ddad04028b7277a11d797f27708993e632e8d6c2f9503264617367bd4ddb4,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000466,466,BASELINE,F3BBG_N015_A1_Q002_R072:POS:PRIMARY,F3BBG_N015_A1_Q002_R072,SYNTHETIC_QPP_PRESENT,0,4f312d7581e612e1a9f8474d7269b7754db0f9d6907b6077507f1936389f864b,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000467,467,BASELINE,F3BBG_N015_A1_Q002_R074:NULL:PRIMARY,F3BBG_N015_A1_Q002_R074,SYNTHETIC_QPP_ABSENT,0,0d20683a4e5fd5b4c4beaf43be8a130b4763c5b8811137210ffa0612a8a7ba50,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000468,468,BASELINE,F3BBG_N015_A1_Q002_R074:POS:PRIMARY,F3BBG_N015_A1_Q002_R074,SYNTHETIC_QPP_PRESENT,0,f0d8c4b87b83651ddb8ac9b7176658dcf45cef5fcdca8acab93537b8070fcb7c,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000469,469,BASELINE,F3BBG_N015_A1_Q002_R075:NULL:PRIMARY,F3BBG_N015_A1_Q002_R075,SYNTHETIC_QPP_ABSENT,0,0be7fb0552a087536fab52ca327d5b65fb5719f884486335efe9033f8bb5bdbf,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000470,470,BASELINE,F3BBG_N015_A1_Q002_R075:POS:PRIMARY,F3BBG_N015_A1_Q002_R075,SYNTHETIC_QPP_PRESENT,0,698ff30af8dff2f6871f6e36ce9d056809288897a3fafc84dd6a5e0272f7a9a5,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000471,471,BASELINE,F3BBG_N015_A1_Q002_R077:NULL:PRIMARY,F3BBG_N015_A1_Q002_R077,SYNTHETIC_QPP_ABSENT,0,1dd69f1f6c3a3d9691aba6f362b00983e43097e5ddda715b22dc248623ac2191,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000472,472,BASELINE,F3BBG_N015_A1_Q002_R077:POS:PRIMARY,F3BBG_N015_A1_Q002_R077,SYNTHETIC_QPP_PRESENT,0,b9f240fa82eb3b91f634c61a1c0d77c63c62da79092091fc2f8f76043aa86230,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000473,473,BASELINE,F3BBG_N015_A1_Q002_R078:NULL:PRIMARY,F3BBG_N015_A1_Q002_R078,SYNTHETIC_QPP_ABSENT,0,452a312ec26947a2b9fe811fff76be124b4946197b90468fa5a1ce0bb26d9ffe,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
F3B2D000474,474,BASELINE,F3BBG_N015_A1_Q002_R078:POS:PRIMARY,F3BBG_N015_A1_Q002_R078,SYNTHETIC_QPP_PRESENT,0,01e14dc177bca444fad473b994df821765dd26025a0a482e03cb77f4c6a133c4,ELIGIBLE_FOR_AFINO,CONTIGUOUS_ALL_GOOD,3,NOT_EXECUTED
