simulation_unit_id,planned_decision_id,background_realization_id,truth_state,qpp_selected,delta_bic_0_1,delta_bic_2_1,baseline_threshold_01,baseline_threshold_21,baseline_comparison,baseline_selected_recomputed,baseline_rule_agreement,classification_outcome,input_state,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,evaluation_scope
F3BBG_N060_A1_Q004_R057:POS:PRIMARY,F3B5_HO_D2356,F3BBG_N060_A1_Q004_R057,SYNTHETIC_QPP_PRESENT,False,-8.89931790953716,-3.360140816044975,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,212.81008858860073,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R060:NULL:PRIMARY,F3B5_HO_D2357,F3BBG_N060_A1_Q004_R060,SYNTHETIC_QPP_ABSENT,False,-7.9261037307256,-2.916660399864071,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R060:POS:PRIMARY,F3B5_HO_D2358,F3BBG_N060_A1_Q004_R060,SYNTHETIC_QPP_PRESENT,False,4.067715886926152,3.673518764072611,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,66.88805366435665,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R061:NULL:PRIMARY,F3B5_HO_D2359,F3BBG_N060_A1_Q004_R061,SYNTHETIC_QPP_ABSENT,False,-9.38523731992322,-2.948945212560403,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R061:POS:PRIMARY,F3B5_HO_D2360,F3BBG_N060_A1_Q004_R061,SYNTHETIC_QPP_PRESENT,False,-7.76273190741253,-2.562051582757732,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,201.19429753081718,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R063:NULL:PRIMARY,F3B5_HO_D2361,F3BBG_N060_A1_Q004_R063,SYNTHETIC_QPP_ABSENT,False,-9.645757810558962,-3.0785935055730818,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R063:POS:PRIMARY,F3B5_HO_D2362,F3BBG_N060_A1_Q004_R063,SYNTHETIC_QPP_PRESENT,False,-9.59792775402201,-2.9838416556011396,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,223.31180880320466,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R066:NULL:PRIMARY,F3B5_HO_D2363,F3BBG_N060_A1_Q004_R066,SYNTHETIC_QPP_ABSENT,False,-9.789367883886996,-3.3160735384043107,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R066:POS:PRIMARY,F3B5_HO_D2364,F3BBG_N060_A1_Q004_R066,SYNTHETIC_QPP_PRESENT,False,-9.559615005989542,-2.852900355300335,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,113.5927126888555,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R067:NULL:PRIMARY,F3B5_HO_D2365,F3BBG_N060_A1_Q004_R067,SYNTHETIC_QPP_ABSENT,False,-9.732891151347673,-3.5758781766883487,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R067:POS:PRIMARY,F3B5_HO_D2366,F3BBG_N060_A1_Q004_R067,SYNTHETIC_QPP_PRESENT,False,-2.7383392725382976,3.630411818769147,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,77.74877400138469,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R068:NULL:PRIMARY,F3B5_HO_D2367,F3BBG_N060_A1_Q004_R068,SYNTHETIC_QPP_ABSENT,False,-8.478473067316344,-2.268855954094164,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R068:POS:PRIMARY,F3B5_HO_D2368,F3BBG_N060_A1_Q004_R068,SYNTHETIC_QPP_PRESENT,False,-8.199596833736535,-2.2385610647471594,10.0,10.0,STRICT_GREATER_THAN,False,True,FN,ELIGIBLE_FOR_AFINO,60,1.0,0.04,198.19301253713465,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
F3BBG_N060_A1_Q004_R070:NULL:PRIMARY,F3B5_HO_D2369,F3BBG_N060_A1_Q004_R070,SYNTHETIC_QPP_ABSENT,False,-9.891057503390272,-3.303040898106559,10.0,10.0,STRICT_GREATER_THAN,False,True,TN,ELIGIBLE_FOR_AFINO,60,1.0,NOT_APPLICABLE,NOT_APPLICABLE,EVALUATION_TARGET_ONLY_NOT_RULE_FEATURE,HELDOUT_SYNTHETIC_GROUND_TRUTH
