simulation_unit_id,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,classifier_decision_expected,classifier_decision_present,planned_decision_id,decision_status,qpp_selected,truth_join_status
F3BBG_N015_A0_Q001_R023:POS:PRIMARY,F3BBG_N015_A0_Q001_R023,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0032,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R024:NULL:PRIMARY,F3BBG_N015_A0_Q001_R024,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0033,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R024:POS:PRIMARY,F3BBG_N015_A0_Q001_R024,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0034,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R026:NULL:PRIMARY,F3BBG_N015_A0_Q001_R026,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0035,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R026:POS:PRIMARY,F3BBG_N015_A0_Q001_R026,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0036,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R027:NULL:PRIMARY,F3BBG_N015_A0_Q001_R027,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0037,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R027:POS:PRIMARY,F3BBG_N015_A0_Q001_R027,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0038,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R032:NULL:PRIMARY,F3BBG_N015_A0_Q001_R032,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0039,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R032:POS:PRIMARY,F3BBG_N015_A0_Q001_R032,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0040,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R042:NULL:PRIMARY,F3BBG_N015_A0_Q001_R042,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0041,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R042:POS:PRIMARY,F3BBG_N015_A0_Q001_R042,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0042,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R043:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R043:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R043:NULL:PRIMARY,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0043,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R043:POS:INTERNALMASK,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R043:POS:PEAKMASK,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_PRESENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R043:POS:PRIMARY,F3BBG_N015_A0_Q001_R043,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0044,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R045:NULL:PRIMARY,F3BBG_N015_A0_Q001_R045,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0045,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R045:POS:PRIMARY,F3BBG_N015_A0_Q001_R045,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0046,VALID,False,JOINED_PRIMARY
F3BBG_N015_A0_Q001_R046:NULL:INTERNALMASK,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R046:NULL:PEAKMASK,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_ABSENT,INPUT_ADMISSIBILITY,PEAK_SAMPLE_MASKED,INPUT_INADMISSIBLE,MATERIALIZED,False,False,,,,AUDITED_NONCLASSIFIER_CHALLENGE
F3BBG_N015_A0_Q001_R046:NULL:PRIMARY,F3BBG_N015_A0_Q001_R046,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,True,True,F3B5_HO_D0047,VALID,False,JOINED_PRIMARY
