replicate_index,strata_count,sampled_background_draws,positive_denominator,null_denominator,draw_indices_sha256,baseline_TP,baseline_FN,baseline_TN,baseline_FP,candidate_TP,candidate_FN,candidate_TN,candidate_FP,baseline_sensitivity,candidate_sensitivity,candidate_minus_baseline_sensitivity,baseline_specificity,candidate_specificity,candidate_minus_baseline_specificity,baseline_FPR,candidate_FPR,candidate_minus_baseline_FPR,baseline_balanced_accuracy,candidate_balanced_accuracy,candidate_minus_baseline_balanced_accuracy
32,36,1800,1800,1800,f3e70ed184b1e715a48d2a3a5ea3da003e09be200ae9e897b1abed82d53ddc74,141,1659,1800,0,1180,620,1107,693,0.07833333333333334,0.6555555555555556,0.5772222222222222,1.0,0.615,-0.385,0.0,0.385,0.385,0.5391666666666667,0.6352777777777778,0.09611111111111115
33,36,1800,1800,1800,cf18bcf0fdda1bba2b4a91993061392954a3074bbfd84ec2731f5b33e2a16d2b,137,1663,1800,0,1155,645,1119,681,0.07611111111111112,0.6416666666666667,0.5655555555555556,1.0,0.6216666666666667,-0.3783333333333333,0.0,0.37833333333333335,0.37833333333333335,0.5380555555555555,0.6316666666666667,0.0936111111111112
34,36,1800,1800,1800,d629b485484f01668eb4ea1c3963dee609faeaa891683d4a76b15678942b0c9e,150,1650,1797,3,1159,641,1122,678,0.08333333333333333,0.6438888888888888,0.5605555555555555,0.9983333333333333,0.6233333333333333,-0.375,0.0016666666666666668,0.37666666666666665,0.375,0.5408333333333333,0.6336111111111111,0.09277777777777785
35,36,1800,1800,1800,530fd25aebc96ce457a76730f2c3fd97eef09ca2beda261d917dce83ea15eee8,128,1672,1799,1,1161,639,1115,685,0.07111111111111111,0.645,0.5738888888888889,0.9994444444444445,0.6194444444444445,-0.38,0.0005555555555555556,0.38055555555555554,0.38,0.5352777777777777,0.6322222222222222,0.0969444444444445
36,36,1800,1800,1800,7471e5edd57bca873b2512ed5dacc7313de47751bb6b420446f2e0529a81dd28,141,1659,1800,0,1171,629,1117,683,0.07833333333333334,0.6505555555555556,0.5722222222222222,1.0,0.6205555555555555,-0.3794444444444445,0.0,0.3794444444444444,0.3794444444444444,0.5391666666666667,0.6355555555555555,0.09638888888888886
37,36,1800,1800,1800,6d4bbb87d56efed52987e7d9c515d4aa0c2f2e92a3e9d9d528533e6f52b91827,142,1658,1800,0,1144,656,1123,677,0.07888888888888888,0.6355555555555555,0.5566666666666666,1.0,0.6238888888888889,-0.37611111111111106,0.0,0.3761111111111111,0.3761111111111111,0.5394444444444444,0.6297222222222223,0.0902777777777779
38,36,1800,1800,1800,91e710c2e1148711d0ca994cfccce4b53927d2df1782c6eacb98e685b72bbae1,144,1656,1799,1,1161,639,1122,678,0.08,0.645,0.5650000000000001,0.9994444444444445,0.6233333333333333,-0.3761111111111112,0.0005555555555555556,0.37666666666666665,0.3761111111111111,0.5397222222222222,0.6341666666666667,0.09444444444444444
39,36,1800,1800,1800,1a216c84774a08795b889f5d152916dbb94b6578045a601df5a7b12ccf08de65,147,1653,1798,2,1162,638,1129,671,0.08166666666666667,0.6455555555555555,0.5638888888888889,0.9988888888888889,0.6272222222222222,-0.3716666666666667,0.0011111111111111111,0.37277777777777776,0.37166666666666665,0.5402777777777779,0.6363888888888889,0.09611111111111104
40,36,1800,1800,1800,6bb359e554d67caf44f33b03645051525687efb3b201514b8e01229e851fedad,140,1660,1798,2,1168,632,1131,669,0.07777777777777778,0.6488888888888888,0.5711111111111111,0.9988888888888889,0.6283333333333333,-0.37055555555555564,0.0011111111111111111,0.37166666666666665,0.3705555555555555,0.5383333333333333,0.638611111111111,0.10027777777777769
41,36,1800,1800,1800,f02e0a7bfee18e64963d66674df0bda1e86b06dbaa2ae665eccc40ea343f2bd5,135,1665,1800,0,1171,629,1121,679,0.075,0.6505555555555556,0.5755555555555556,1.0,0.6227777777777778,-0.37722222222222224,0.0,0.37722222222222224,0.37722222222222224,0.5375,0.6366666666666667,0.09916666666666674
