simulation_unit_id,planned_decision_id,decision_class,external_optimizer_seed,background_realization_id,truth_state,evidence_plane,gap_quality_regime,input_state,materialization_status,decision_status,valid_models,n_samples,red_noise_alpha,qpp_fraction,true_period_s,truth_usage,rule_feature_usage,truth_join_status
F3BBG_N015_A0_Q001_R013:NULL:PRIMARY,F3B2D000011,BASELINE,0,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R013:POS:PRIMARY,F3B2D000012,BASELINE,0,F3BBG_N015_A0_Q001_R013,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,44.05037402235358,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R019:NULL:PRIMARY,F3B2D000013,BASELINE,0,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R019:POS:PRIMARY,F3B2D000014,BASELINE,0,F3BBG_N015_A0_Q001_R019,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,41.41520086707773,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R025:NULL:PRIMARY,F3B2D000015,BASELINE,0,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R025:POS:PRIMARY,F3B2D000016,BASELINE,0,F3BBG_N015_A0_Q001_R025,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,63.77153573692542,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R028:NULL:PRIMARY,F3B2D000017,BASELINE,0,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R028:POS:PRIMARY,F3B2D000018,BASELINE,0,F3BBG_N015_A0_Q001_R028,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,47.997566984486305,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R029:NULL:PRIMARY,F3B2D000019,BASELINE,0,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R029:POS:PRIMARY,F3B2D000020,BASELINE,0,F3BBG_N015_A0_Q001_R029,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,86.52577217114961,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R030:NULL:PRIMARY,F3B2D000021,BASELINE,0,F3BBG_N015_A0_Q001_R030,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R030:POS:PRIMARY,F3B2D000022,BASELINE,0,F3BBG_N015_A0_Q001_R030,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,70.0859432038663,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R031:NULL:PRIMARY,F3B2D000023,BASELINE,0,F3BBG_N015_A0_Q001_R031,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R031:POS:PRIMARY,F3B2D000024,BASELINE,0,F3BBG_N015_A0_Q001_R031,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,55.54201572574564,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R033:NULL:PRIMARY,F3B2D000025,BASELINE,0,F3BBG_N015_A0_Q001_R033,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R033:POS:PRIMARY,F3B2D000026,BASELINE,0,F3BBG_N015_A0_Q001_R033,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,49.64742982521561,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R034:NULL:PRIMARY,F3B2D000027,BASELINE,0,F3BBG_N015_A0_Q001_R034,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R034:POS:PRIMARY,F3B2D000028,BASELINE,0,F3BBG_N015_A0_Q001_R034,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,69.27073638643023,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R035:NULL:PRIMARY,F3B2D000029,BASELINE,0,F3BBG_N015_A0_Q001_R035,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R035:POS:PRIMARY,F3B2D000030,BASELINE,0,F3BBG_N015_A0_Q001_R035,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,48.78434854704886,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R036:NULL:PRIMARY,F3B2D000031,BASELINE,0,F3BBG_N015_A0_Q001_R036,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R036:POS:PRIMARY,F3B2D000032,BASELINE,0,F3BBG_N015_A0_Q001_R036,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,44.95557792333583,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R037:NULL:PRIMARY,F3B2D000033,BASELINE,0,F3BBG_N015_A0_Q001_R037,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R037:POS:PRIMARY,F3B2D000034,BASELINE,0,F3BBG_N015_A0_Q001_R037,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,58.668917384893625,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R038:NULL:PRIMARY,F3B2D000035,BASELINE,0,F3BBG_N015_A0_Q001_R038,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R038:POS:PRIMARY,F3B2D000036,BASELINE,0,F3BBG_N015_A0_Q001_R038,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,78.00996718577193,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R039:NULL:PRIMARY,F3B2D000037,BASELINE,0,F3BBG_N015_A0_Q001_R039,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R039:POS:PRIMARY,F3B2D000038,BASELINE,0,F3BBG_N015_A0_Q001_R039,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,87.53046518735535,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R040:NULL:PRIMARY,F3B2D000039,BASELINE,0,F3BBG_N015_A0_Q001_R040,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R040:POS:PRIMARY,F3B2D000040,BASELINE,0,F3BBG_N015_A0_Q001_R040,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,50.07299360420042,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R041:NULL:PRIMARY,F3B2D000041,BASELINE,0,F3BBG_N015_A0_Q001_R041,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R041:POS:PRIMARY,F3B2D000042,BASELINE,0,F3BBG_N015_A0_Q001_R041,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,49.63996321327723,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R044:NULL:PRIMARY,F3B2D000043,BASELINE,0,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R044:POS:PRIMARY,F3B2D000044,BASELINE,0,F3BBG_N015_A0_Q001_R044,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,86.10439217547197,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R047:NULL:PRIMARY,F3B2D000045,BASELINE,0,F3BBG_N015_A0_Q001_R047,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R047:POS:PRIMARY,F3B2D000046,BASELINE,0,F3BBG_N015_A0_Q001_R047,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,63.529309910213854,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R053:NULL:PRIMARY,F3B2D000047,BASELINE,0,F3BBG_N015_A0_Q001_R053,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R053:POS:PRIMARY,F3B2D000048,BASELINE,0,F3BBG_N015_A0_Q001_R053,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,65.93139439759574,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R054:NULL:PRIMARY,F3B2D000049,BASELINE,0,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R054:POS:PRIMARY,F3B2D000050,BASELINE,0,F3BBG_N015_A0_Q001_R054,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,54.05201303533685,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R055:NULL:PRIMARY,F3B2D000051,BASELINE,0,F3BBG_N015_A0_Q001_R055,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R055:POS:PRIMARY,F3B2D000052,BASELINE,0,F3BBG_N015_A0_Q001_R055,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,55.97633863750731,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R059:NULL:PRIMARY,F3B2D000053,BASELINE,0,F3BBG_N015_A0_Q001_R059,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R059:POS:PRIMARY,F3B2D000054,BASELINE,0,F3BBG_N015_A0_Q001_R059,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,45.40878779007848,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R062:NULL:PRIMARY,F3B2D000055,BASELINE,0,F3BBG_N015_A0_Q001_R062,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R062:POS:PRIMARY,F3B2D000056,BASELINE,0,F3BBG_N015_A0_Q001_R062,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,58.282521460450106,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R063:NULL:PRIMARY,F3B2D000057,BASELINE,0,F3BBG_N015_A0_Q001_R063,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R063:POS:PRIMARY,F3B2D000058,BASELINE,0,F3BBG_N015_A0_Q001_R063,SYNTHETIC_QPP_PRESENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,0.01,67.36891216916186,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
F3BBG_N015_A0_Q001_R065:NULL:PRIMARY,F3B2D000059,BASELINE,0,F3BBG_N015_A0_Q001_R065,SYNTHETIC_QPP_ABSENT,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,CONTIGUOUS_ALL_GOOD,ELIGIBLE_FOR_AFINO,MATERIALIZED,VALID,3,15,0.0,NOT_APPLICABLE,NOT_APPLICABLE,TARGET_OR_EVALUATION_AXIS_ONLY,FORBIDDEN,JOIN_OK
