simulation_unit_id,background_realization_id,seed_count,seed0_selected,selected_seed_count,classification_state_set,discordant_vs_seed0_count,discordant_vs_seed0_fraction,bic_m0_range,bic_m1_range,bic_m2_range,delta01_range,delta21_range,formal_m1_center_range,formal_m1_period_range_s_when_defined,unique_parameter_payloads_m0,unique_parameter_payloads_m1,unique_parameter_payloads_m2,warning_calls_by_model,warning_count_by_model,bound_calls_by_model,convergence_status_set
F3BBG_N060_A0_Q004_R094:NULL:PRIMARY,F3BBG_N060_A0_Q004_R094,10,false,0,NOT_SELECTED,0,0.0,1.921307557495311e-11,0.164736735176092,0.9823621751664007,0.1647367351730793,0.9823565010813127,1.3433743684970683,166.4691850377823,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":50}","{""M0"":0,""M1"":10,""M2"":2}",NOT_AUDITABLE
F3BBG_N060_A0_Q004_R094:POS:PRIMARY,F3BBG_N060_A0_Q004_R094,10,false,0,NOT_SELECTED,0,0.0,9.57811607804615e-12,3.6701521821669303e-09,2.5774971999369427,3.67506913789839e-09,2.577497199967098,2.0327363738914528e-06,8.633463231433325e-05,10,10,10,"{""M0"":0,""M1"":0,""M2"":10}","{""M0"":0,""M1"":0,""M2"":100}","{""M0"":0,""M1"":10,""M2"":10}",NOT_AUDITABLE
F3BBG_N060_A1_Q001_R062:NULL:PRIMARY,F3BBG_N060_A1_Q001_R062,10,false,0,NOT_SELECTED,0,0.0,4.993694346921984e-11,2.42997145960544e-07,0.6934802312935062,2.430470829040132e-07,0.6934802294565543,1.416036864076986e-05,0.0007323320640537645,10,10,10,"{""M0"":0,""M1"":0,""M2"":6}","{""M0"":0,""M1"":0,""M2"":71}","{""M0"":0,""M1"":10,""M2"":6}",NOT_AUDITABLE
F3BBG_N060_A1_Q001_R062:POS:PRIMARY,F3BBG_N060_A1_Q001_R062,10,false,0,NOT_SELECTED,0,0.0,1.6774492905824445e-10,8.95933283118211e-08,0.698147597736579,8.942913609644165e-08,0.6981476345845863,2.802916217792273e-06,0.000144987741336422,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":59}","{""M0"":0,""M1"":10,""M2"":5}",NOT_AUDITABLE
F3BBG_N060_A1_Q002_R062:NULL:PRIMARY,F3BBG_N060_A1_Q002_R062,10,false,0,NOT_SELECTED,0,0.0,3.54418716597138e-11,1.0198277777817566e-09,0.32986536714176395,1.013319206322194e-09,0.32986536706960123,0.0,0.0,10,10,10,"{""M0"":0,""M1"":0,""M2"":6}","{""M0"":0,""M1"":0,""M2"":33}","{""M0"":0,""M1"":10,""M2"":2}",NOT_AUDITABLE
F3BBG_N060_A1_Q002_R062:POS:PRIMARY,F3BBG_N060_A1_Q002_R062,10,false,0,NOT_SELECTED,0,0.0,1.000444171950221e-11,2.9814373192493804e-10,0.2879488925215412,3.0530600270139985e-10,0.2879488925652538,0.0,0.0,10,10,10,"{""M0"":0,""M1"":0,""M2"":7}","{""M0"":0,""M1"":0,""M2"":71}","{""M0"":0,""M1"":10,""M2"":3}",NOT_AUDITABLE
F3BBG_N060_A1_Q004_R055:NULL:PRIMARY,F3BBG_N060_A1_Q004_R055,10,false,0,NOT_SELECTED,0,0.0,5.5138116294983774e-12,1.570555241414695e-09,0.2103008525145924,1.5695889032940613e-09,0.21030085097714846,0.0,0.0,10,10,10,"{""M0"":0,""M1"":0,""M2"":8}","{""M0"":0,""M1"":0,""M2"":48}","{""M0"":0,""M1"":10,""M2"":5}",NOT_AUDITABLE
F3BBG_N060_A1_Q004_R055:POS:PRIMARY,F3BBG_N060_A1_Q004_R055,10,false,0,NOT_SELECTED,0,0.0,5.343281372915953e-12,5.93448419294873e-08,0.3686118145822377,5.9347087244532304e-08,0.3686118076964817,1.8967982443385267e-05,0.0026620732081994447,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":49}","{""M0"":0,""M1"":0,""M2"":2}",NOT_AUDITABLE
F3BBG_N060_A2_Q001_R022:NULL:PRIMARY,F3BBG_N060_A2_Q001_R022,10,false,0,NOT_SELECTED,0,0.0,3.1889157980913296e-11,2.6077523784806544e-07,0.21445859935056433,2.607778242236236e-07,0.21445874351988437,0.00045480205343295665,0.11756426353679217,10,10,10,"{""M0"":0,""M1"":0,""M2"":5}","{""M0"":0,""M1"":0,""M2"":66}","{""M0"":0,""M1"":10,""M2"":1}",NOT_AUDITABLE
F3BBG_N060_A2_Q001_R022:POS:PRIMARY,F3BBG_N060_A2_Q001_R022,10,false,0,NOT_SELECTED,0,0.0,5.306333150656428e-11,2.967556156363571e-08,0.39701869893815456,2.9673230983462417e-08,0.3970186700165925,6.716426573127876e-06,0.0004194788659717119,10,10,10,"{""M0"":0,""M1"":0,""M2"":4}","{""M0"":0,""M1"":0,""M2"":39}","{""M0"":0,""M1"":10,""M2"":9}",NOT_AUDITABLE
