planned_decision_id,decision_order,decision_class,simulation_unit_id,external_optimizer_seed,payload_logical_sha256,n_samples,mean_dt_external_s,median_dt_external_s,afino_dt_m0_s,afino_dt_m1_s,afino_dt_m2_s,mean_dt_match_m0,mean_dt_match_m1,mean_dt_match_m2,mean_dt_contract_match,positive_fftfreq_bin_count_external,rfftfreq_positive_bin_count_external,afino_positive_bin_count_m0,afino_positive_bin_count_m1,afino_positive_bin_count_m2,positive_fftfreq_match_m0,positive_fftfreq_match_m1,positive_fftfreq_match_m2,positive_fftfreq_contract_match,legacy_rfftfreq_match_m0,legacy_rfftfreq_match_m1,legacy_rfftfreq_match_m2
F3B5_HO_D0030,30,BASELINE,F3BBG_N015_A0_Q001_R022:POS:PRIMARY,0,cb178d6d545cd1bee7ecd09494e454224554c72a86485d14ef8b5a2f089c3080,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0031,31,BASELINE,F3BBG_N015_A0_Q001_R023:NULL:PRIMARY,0,f8f8319ec029c46c4f82192b9db92901a70acd4f6fa468226d5f26ca190d0f00,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0032,32,BASELINE,F3BBG_N015_A0_Q001_R023:POS:PRIMARY,0,af6502e4762b7bfb33f394989ff43dadc1f0fef992f3be883da668d1d4736c6d,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0033,33,BASELINE,F3BBG_N015_A0_Q001_R024:NULL:PRIMARY,0,a652828a5328ac200fbf4dbecd9747082d8838b8cd8980ebae08e48f88ff33dc,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0034,34,BASELINE,F3BBG_N015_A0_Q001_R024:POS:PRIMARY,0,2e4d9eaa4010b9325884d84c28b39fc0f916fecf08813e9e93253f059dff78cf,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0035,35,BASELINE,F3BBG_N015_A0_Q001_R026:NULL:PRIMARY,0,1484cd1fdf18f0d434be5b75ccf2c7c50fb4995faa65ea305007ce5c4b8d5ade,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0036,36,BASELINE,F3BBG_N015_A0_Q001_R026:POS:PRIMARY,0,f12ced5f7b33e96b477e5f45a10958faa13f180d8a43df771c5ed88a0e500c2b,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0037,37,BASELINE,F3BBG_N015_A0_Q001_R027:NULL:PRIMARY,0,9c80acc9f39b367f153e6bd6ad8fed3b6a9377fbfe87b244a31928f04004cf29,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0038,38,BASELINE,F3BBG_N015_A0_Q001_R027:POS:PRIMARY,0,55ad8c19db41aee4598cde4b73c8d3f229a0c379f285d2e8072ffe7f19a6dde1,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0039,39,BASELINE,F3BBG_N015_A0_Q001_R032:NULL:PRIMARY,0,2414b2c168925dd264d3a00982e6238d36da9036f3e3327bd8db170caafdb9fb,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0040,40,BASELINE,F3BBG_N015_A0_Q001_R032:POS:PRIMARY,0,fce40319db5c46d94ed91069d72a1b278bb460417e9f26110add785e20c6c70f,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0041,41,BASELINE,F3BBG_N015_A0_Q001_R042:NULL:PRIMARY,0,addfaf4ebddd43defca95bc44fa63716064cf20ec0be72e0a5c9915331f19f69,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
F3B5_HO_D0042,42,BASELINE,F3BBG_N015_A0_Q001_R042:POS:PRIMARY,0,9ccff16c406916bc56db769aafb19374c84eded038ec2b0e88c4926e87111f03,15,20.0,20.0,20.0,20.0,20.0,True,True,True,True,7,7,7,7,7,True,True,True,True,True,True,True
