job_id,job_order,planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,model_id,model_name,n_samples,payload_start_offset,payload_end_offset,input_time_sha256,input_flux_sha256,source_fits_sha256,candidate_discovery_use,canary_order
F2J000847,847,F2D000473,primary,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,0,M0,pow_const,19,21578,21597,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,5b56b32127f48434adc58b6f87d600d00f296c901717c4e87ba913e281faf669,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,25
F2J000848,848,F2D000473,primary,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,0,M1,pow_const_gauss,19,21578,21597,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,5b56b32127f48434adc58b6f87d600d00f296c901717c4e87ba913e281faf669,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,26
F2J000849,849,F2D000473,primary,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,0,M2,bpow_const,19,21578,21597,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,5b56b32127f48434adc58b6f87d600d00f296c901717c4e87ba913e281faf669,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,27
F2J000850,850,F2D000474,primary,F2V000474,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P05,0,M0,pow_const,19,21597,21616,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,27ef0b1a9fd96b250af2fc4fd359bcb13e5464cc7de8ecc82ae2342a2e6aff0c,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,28
F2J000851,851,F2D000474,primary,F2V000474,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P05,0,M1,pow_const_gauss,19,21597,21616,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,27ef0b1a9fd96b250af2fc4fd359bcb13e5464cc7de8ecc82ae2342a2e6aff0c,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,29
F2J000852,852,F2D000474,primary,F2V000474,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P05,0,M2,bpow_const,19,21597,21616,133de0c3366958f712bb51a8168dfa174e603829fff3f53f8526458c4cccb95a,27ef0b1a9fd96b250af2fc4fd359bcb13e5464cc7de8ecc82ae2342a2e6aff0c,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,30
F2J001069,1069,F2D000547,primary,F2V000547,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P00,0,M0,pow_const,16,22984,23000,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,31
F2J001070,1070,F2D000547,primary,F2V000547,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P00,0,M1,pow_const_gauss,16,22984,23000,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,32
F2J001071,1071,F2D000547,primary,F2V000547,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P00,0,M2,bpow_const,16,22984,23000,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,bb86319e862bea5faf55ec1e647160359e5b78e970b67d78d2714e21ec8c614f,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,33
F2J001072,1072,F2D000548,primary,F2V000548,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P01,0,M0,pow_const,16,23000,23016,1b9215ab9acb5928e4ef562ecce48290b8d468ca3445482ec78a0ab934bfb642,110a3956e0b149501b2d6918aac79208a101b8093f7800454e80d5a6568a9e90,c92e5449dc07d57cccdaabc1a2c078a471d4798b29167881a5be156c45f042c4,false,34
