planned_decision_id,planned_order,decision_class,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,execute_only_if_eligible,planned_models,candidate_discovery_use,variant_id,admissibility_status,execute_afino,input_n_samples,input_time_sha256,input_flux_sha256,payload_start_offset,payload_end_offset,resolved_decision_status
F2D000044,44,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P01,0,true,M0|M1|M2,false,F2V000044,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,c76d3441537f0f7ad524ff90bf115bf1ee2360091933a4fca561bbb7e3b6ae09,304,320,READY_FOR_AFINO
F2D000045,45,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P02,0,true,M0|M1|M2,false,F2V000045,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,323c1b740869c89b724448916aee3a2ede6b79c384ff4c8ab589b4a7a129c873,320,336,READY_FOR_AFINO
F2D000046,46,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P03,0,true,M0|M1|M2,false,F2V000046,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,c76d3441537f0f7ad524ff90bf115bf1ee2360091933a4fca561bbb7e3b6ae09,336,352,READY_FOR_AFINO
F2D000047,47,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P04,0,true,M0|M1|M2,false,F2V000047,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,d170d92b4aa63ee720e141bf670fd3a6de1904d6514b4b50538a7ece42288305,352,368,READY_FOR_AFINO
F2D000048,48,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp1,P05,0,true,M0|M1|M2,false,F2V000048,ELIGIBLE_FOR_AFINO,true,16,4dda173786114733102b9001c55e00b475f20cfa877daf46d3aae7b806d63c88,4a5dd6156b768168cd18a78b602fabc29177ae2def036d92749c5c7dcac30948,368,384,READY_FOR_AFINO
F2D000049,49,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P00,0,true,M0|M1|M2,false,F2V000049,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,c523665a1b0a0f58d449df7c69b753046f5babdd677a07d02a8a34e348188579,384,401,READY_FOR_AFINO
F2D000050,50,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P01,0,true,M0|M1|M2,false,F2V000050,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,e04a5cbe61cf5049ee2197a0608447250ee636d2079ea80d09bc95f11fa4d9ba,401,418,READY_FOR_AFINO
F2D000051,51,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P02,0,true,M0|M1|M2,false,F2V000051,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,c523665a1b0a0f58d449df7c69b753046f5babdd677a07d02a8a34e348188579,418,435,READY_FOR_AFINO
F2D000052,52,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P03,0,true,M0|M1|M2,false,F2V000052,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,e04a5cbe61cf5049ee2197a0608447250ee636d2079ea80d09bc95f11fa4d9ba,435,452,READY_FOR_AFINO
F2D000053,53,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P04,0,true,M0|M1|M2,false,F2V000053,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,eede20d61ace669e4af7efb8b118413aafa5da96b35ae8361d0b979f26069fd7,452,469,READY_FOR_AFINO
F2D000054,54,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WEp2,P05,0,true,M0|M1|M2,false,F2V000054,ELIGIBLE_FOR_AFINO,true,17,73cbb245066a38cbd586fdccfc811a95ce81889c6cf55b987cd1eaf474e5b204,c09a27d9dd710dd7661e5fb470fd3d6584f71c2eebc8a9257374ddcf85897a75,469,486,READY_FOR_AFINO
F2D000055,55,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P00,0,true,M0|M1|M2,false,F2V000055,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,8633619657a924fbcdffb89541f1961f0c7f5791d37583cb35219f21d74b3e6b,486,503,READY_FOR_AFINO
F2D000056,56,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P01,0,true,M0|M1|M2,false,F2V000056,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,dc602242b63b242839d1a404ed8c684faf937df19c449dc23d749fb1d10bd341,503,520,READY_FOR_AFINO
F2D000057,57,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P02,0,true,M0|M1|M2,false,F2V000057,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,8633619657a924fbcdffb89541f1961f0c7f5791d37583cb35219f21d74b3e6b,520,537,READY_FOR_AFINO
F2D000058,58,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P03,0,true,M0|M1|M2,false,F2V000058,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,dc602242b63b242839d1a404ed8c684faf937df19c449dc23d749fb1d10bd341,537,554,READY_FOR_AFINO
F2D000059,59,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WX1,P04,0,true,M0|M1|M2,false,F2V000059,ELIGIBLE_FOR_AFINO,true,17,bb4a53e21afdaac256a3622516c1aaea4f1529a1f3088eab50112cfe0f19ae78,b1ea10f8134487c5dd69ae6f9927c1b20a1c16442e60d817eb3a472eb140e246,554,571,READY_FOR_AFINO
