simulation_unit_id,background_realization_id,latent_array_file,latent_offset,latent_length,latent_flux_sha256,retained_time_array_file,retained_flux_array_file,retained_native_index_array_file,retained_offset,retained_length,retained_time_sha256,retained_flux_sha256,retained_native_index_sha256,logical_payload_sha256,materialization_status
F3BBG_N120_A0_Q004_R060:NULL:PRIMARY,F3BBG_N120_A0_Q004_R060,latent_flux.npy,149640,120,2899184a927bea12c17ab32587858ae362d9470a0eb5306c5682efd2c4106ba4,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149048,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,2899184a927bea12c17ab32587858ae362d9470a0eb5306c5682efd2c4106ba4,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,344a412d7e3651c1b9d3d968b34f40bb5b32db06f3ad3ede06815ad92729f7cd,MATERIALIZED
F3BBG_N120_A0_Q004_R060:POS:PRIMARY,F3BBG_N120_A0_Q004_R060,latent_flux.npy,149760,120,8a07e713413335255e39866c5d1d135c49e2bdcaa56ff986a5c65c462384d0a7,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149168,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,8a07e713413335255e39866c5d1d135c49e2bdcaa56ff986a5c65c462384d0a7,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,46bd3fa49c23028258457e92e360307197047ae347970cc1571501887ebe70c0,MATERIALIZED
F3BBG_N120_A0_Q004_R062:NULL:PRIMARY,F3BBG_N120_A0_Q004_R062,latent_flux.npy,149880,120,01e4889ace18344a1268d9d1cc81b76a95ede4cb27541fa914260ec5aeb225d3,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149288,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,01e4889ace18344a1268d9d1cc81b76a95ede4cb27541fa914260ec5aeb225d3,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,b65dea93b11bba9f1eec22ef4a6c99f4cb610c13c9cc215f7ec0b184b24cea36,MATERIALIZED
F3BBG_N120_A0_Q004_R062:POS:PRIMARY,F3BBG_N120_A0_Q004_R062,latent_flux.npy,150000,120,5d9a3dfccf5251573b49f699fc516a81180fcd1f5dd7118b4d3aef9bd1277195,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149408,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,5d9a3dfccf5251573b49f699fc516a81180fcd1f5dd7118b4d3aef9bd1277195,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,d153bb0e07b2270b7c1d7f269460dfaf05c826a21a6b7f5b33bb565bc31049c6,MATERIALIZED
F3BBG_N120_A0_Q004_R063:NULL:PRIMARY,F3BBG_N120_A0_Q004_R063,latent_flux.npy,150120,120,b8040d4da8875d321575696a9f5bf36722a0dfae095eb54d792e7cbcd4b6d7aa,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149528,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,b8040d4da8875d321575696a9f5bf36722a0dfae095eb54d792e7cbcd4b6d7aa,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,5cae2addfc9afcc4f7ea3114f5e127a9502e1603f1bf701557d69fd7e0679f26,MATERIALIZED
F3BBG_N120_A0_Q004_R063:POS:PRIMARY,F3BBG_N120_A0_Q004_R063,latent_flux.npy,150240,120,a07587c3981c61d3b5857ed0de9a14f3f720e1450d35f2889d8a1d867825f6a7,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149648,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,a07587c3981c61d3b5857ed0de9a14f3f720e1450d35f2889d8a1d867825f6a7,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,a6ca9ffe9551c8c585ff9b36e8206a14c93d0f5971b0347a7d5c174492f1721c,MATERIALIZED
F3BBG_N120_A0_Q004_R064:NULL:PRIMARY,F3BBG_N120_A0_Q004_R064,latent_flux.npy,150360,120,7585b839f4e396f2c295f35cb619ed1702037b4725491a1c91b81b45aa72b307,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149768,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,7585b839f4e396f2c295f35cb619ed1702037b4725491a1c91b81b45aa72b307,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,766aa5cafe22a946214d380e1587208c854cc540501a7706383e4368d4f0f9e7,MATERIALIZED
F3BBG_N120_A0_Q004_R064:POS:PRIMARY,F3BBG_N120_A0_Q004_R064,latent_flux.npy,150480,120,143108da54d86d337b9e07ee19a00c8d2076317769d47ea98cb2920bf48a6ddf,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,149888,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,143108da54d86d337b9e07ee19a00c8d2076317769d47ea98cb2920bf48a6ddf,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,818f268bba6e1e2d79019fb9089441c3c8cf0fa84196e4d40a0aa51deb308bae,MATERIALIZED
F3BBG_N120_A0_Q004_R065:NULL:PRIMARY,F3BBG_N120_A0_Q004_R065,latent_flux.npy,150600,120,a2e65590c99adef49dc28ceda05be1ccacd324f27875b2dfdee534520bdb0f71,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150008,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,a2e65590c99adef49dc28ceda05be1ccacd324f27875b2dfdee534520bdb0f71,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,1fb7bc56951b20085c0e8debdbfcc7f3ddaf4f98a5f14cde8a1b38a9c7eb8fa7,MATERIALIZED
F3BBG_N120_A0_Q004_R065:POS:PRIMARY,F3BBG_N120_A0_Q004_R065,latent_flux.npy,150720,120,d02d36c7d3f90c22c89e53065e7f2c0b42c8bf705dc7b78c288e0a5734cb89a4,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150128,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,d02d36c7d3f90c22c89e53065e7f2c0b42c8bf705dc7b78c288e0a5734cb89a4,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,5a0c18bb6dc36b05005e2fb6a0ad2ac05c02326794a9387b773c1152910c7870,MATERIALIZED
F3BBG_N120_A0_Q004_R067:NULL:PRIMARY,F3BBG_N120_A0_Q004_R067,latent_flux.npy,150840,120,8d406cd7ede81d4c59fffbe1630698971fe737bc73deca40aaae744c8de0cf34,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150248,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,8d406cd7ede81d4c59fffbe1630698971fe737bc73deca40aaae744c8de0cf34,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,b5c235b619faf8266a45cb99b26a5ab0f4281707076b4e76c2ab66c2e1740e70,MATERIALIZED
F3BBG_N120_A0_Q004_R067:POS:PRIMARY,F3BBG_N120_A0_Q004_R067,latent_flux.npy,150960,120,3e9c8c981377d2c1fda682f0315ab8cbbe446e07fa11b9c55abf9457cd8bb8fb,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150368,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,3e9c8c981377d2c1fda682f0315ab8cbbe446e07fa11b9c55abf9457cd8bb8fb,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,42afffed5f5ee3ade5739496caca7f09c50a58233d7ec97362de95c7465af8bb,MATERIALIZED
F3BBG_N120_A0_Q004_R068:NULL:INTERNALMASK,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151080,120,91b8f10fa90d7ac0a0e583039c941635b7baac35db7b5f2a0ac06ace4e8fa4f6,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150488,119,41f8b6006d45239824c92cf485b6b96337e4c631996d5a1a928575d59d79a422,0449744b2cb9afafd73d37ba7e015fba6a19b722ea7c69dbf494382bb29f0747,15ccc66581d2048b0f46af54b6ea93d9c276c56e53255d3a23138f38529a6e78,8567f8c1a563165e36aab17c52c408e2e0573662b495758a45a766380787f32d,MATERIALIZED
F3BBG_N120_A0_Q004_R068:NULL:PEAKMASK,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151200,120,91b8f10fa90d7ac0a0e583039c941635b7baac35db7b5f2a0ac06ace4e8fa4f6,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150607,119,d0ad6727864f7f2c30d47e9fea26556a81dbcf836bb2cb8e748802179ef3bf27,60ae40f26e421a9a5d5e70c0c59c22c74e5c21a796eb180ed0882d0a142c12f1,601f3bae3a58453c8e1df29a905b6be074d453a4c35882c151f48a9955105733,e79f0137da8fe81b112c4cb6ccf386391fd31423a9c826b8bd72c70b85e51144,MATERIALIZED
F3BBG_N120_A0_Q004_R068:NULL:PRIMARY,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151320,120,91b8f10fa90d7ac0a0e583039c941635b7baac35db7b5f2a0ac06ace4e8fa4f6,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150726,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,91b8f10fa90d7ac0a0e583039c941635b7baac35db7b5f2a0ac06ace4e8fa4f6,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,135364e781e9b4ab79f3f041651879200f104cd9cadb4f8bf5395e74d74e00d9,MATERIALIZED
F3BBG_N120_A0_Q004_R068:POS:INTERNALMASK,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151440,120,a0396f8d38f953810b83b41be1fac6cf1b5fa77a75a0251225583fb0e3461fde,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150846,119,41f8b6006d45239824c92cf485b6b96337e4c631996d5a1a928575d59d79a422,d3f88931c250046b8d405b796f623530c45febdb4fc12dbac0d8a85290745f0d,15ccc66581d2048b0f46af54b6ea93d9c276c56e53255d3a23138f38529a6e78,4d0a793ddde08791f31ef7bc23fabfbc22d356eeca59e3ac85b2780ecf403c54,MATERIALIZED
F3BBG_N120_A0_Q004_R068:POS:PEAKMASK,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151560,120,a0396f8d38f953810b83b41be1fac6cf1b5fa77a75a0251225583fb0e3461fde,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,150965,119,d0ad6727864f7f2c30d47e9fea26556a81dbcf836bb2cb8e748802179ef3bf27,06ca77ab5639669bd50522949251e0da448d03a5be1ffb11b83935ebf4eed285,601f3bae3a58453c8e1df29a905b6be074d453a4c35882c151f48a9955105733,f3ffcbef81da512eb43a02f54a6ab80f1ac4ba44d0135d2a07a5ee288e13ac1c,MATERIALIZED
F3BBG_N120_A0_Q004_R068:POS:PRIMARY,F3BBG_N120_A0_Q004_R068,latent_flux.npy,151680,120,a0396f8d38f953810b83b41be1fac6cf1b5fa77a75a0251225583fb0e3461fde,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,151084,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,a0396f8d38f953810b83b41be1fac6cf1b5fa77a75a0251225583fb0e3461fde,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,5f99970696b8c40e7c05ee7612c05e5bb55df2efa6b78316545ee2eb64e080f6,MATERIALIZED
F3BBG_N120_A0_Q004_R070:NULL:PRIMARY,F3BBG_N120_A0_Q004_R070,latent_flux.npy,151800,120,eb997cbda7ea7bfea4c35c0d8bb965ca633cdd55c6719a27beb2bf5d5de988c9,retained_time_s.npy,retained_flux.npy,retained_native_index.npy,151204,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,eb997cbda7ea7bfea4c35c0d8bb965ca633cdd55c6719a27beb2bf5d5de988c9,fc256ff91ecfd419717ef3077f33d0d67c0cd9056b3975a8f9a3b4c2ba50bb10,a83f65abbe8a1f3f3d004bbb5b8c8edd08c84bdf5dda4c313b2a76f422044c4a,MATERIALIZED
