job_id,job_order,planned_decision_id,simulation_unit_id,background_realization_id,external_optimizer_seed,model_id,payload_logical_sha256,afino_version,afino_commit,low_frequency_cutoff_hz,execution_status
F3B5_HO_J00036,36,F3B5_HO_D0012,F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3BBG_N015_A0_Q001_R010,0,M2,6cff01eec2cc788026bee9423476ed9ce529d0976794235064ca013afc174861,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00037,37,F3B5_HO_D0013,F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M0,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00038,38,F3B5_HO_D0013,F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M1,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00039,39,F3B5_HO_D0013,F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M2,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00040,40,F3B5_HO_D0014,F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M0,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00041,41,F3B5_HO_D0014,F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M1,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00042,42,F3B5_HO_D0014,F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,0,M2,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00043,43,F3B5_HO_D0015,F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M0,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00044,44,F3B5_HO_D0015,F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M1,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00045,45,F3B5_HO_D0015,F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M2,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00046,46,F3B5_HO_D0016,F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M0,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00047,47,F3B5_HO_D0016,F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M1,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00048,48,F3B5_HO_D0016,F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,0,M2,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00049,49,F3B5_HO_D0017,F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M0,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00050,50,F3B5_HO_D0017,F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M1,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00051,51,F3B5_HO_D0017,F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M2,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00052,52,F3B5_HO_D0018,F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M0,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00053,53,F3B5_HO_D0018,F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M1,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00054,54,F3B5_HO_D0018,F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,0,M2,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00055,55,F3B5_HO_D0019,F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M0,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00056,56,F3B5_HO_D0019,F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M1,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00057,57,F3B5_HO_D0019,F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M2,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00058,58,F3B5_HO_D0020,F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M0,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00059,59,F3B5_HO_D0020,F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M1,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00060,60,F3B5_HO_D0020,F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,0,M2,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00061,61,F3B5_HO_D0021,F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M0,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00062,62,F3B5_HO_D0021,F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M1,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00063,63,F3B5_HO_D0021,F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M2,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00064,64,F3B5_HO_D0022,F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M0,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00065,65,F3B5_HO_D0022,F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M1,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00066,66,F3B5_HO_D0022,F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,0,M2,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00067,67,F3B5_HO_D0023,F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M0,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00068,68,F3B5_HO_D0023,F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M1,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00069,69,F3B5_HO_D0023,F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M2,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00070,70,F3B5_HO_D0024,F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M0,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00071,71,F3B5_HO_D0024,F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M1,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00072,72,F3B5_HO_D0024,F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,0,M2,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00073,73,F3B5_HO_D0025,F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,0,M0,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00074,74,F3B5_HO_D0025,F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,0,M1,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00075,75,F3B5_HO_D0025,F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,0,M2,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00076,76,F3B5_HO_D0026,F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,0,M0,6f128f3f0a9d696d4ccb3454b023de6a67b08a526b9de751f9efe264ddc7eaa8,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
F3B5_HO_J00077,77,F3B5_HO_D0026,F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,0,M1,6f128f3f0a9d696d4ccb3454b023de6a67b08a526b9de751f9efe264ddc7eaa8,0.5,6aceac9518fc8056052807e666da9d0c8bebb010,0.025,NOT_EXECUTED
