series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,decision_status,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,joint_margin,margin_limiting_model,bic_winner,qpp_selected,estimated_period_s,period_population_label,signed_period_error_s,absolute_period_error_s,relative_signed_error,relative_absolute_error
NWS000027,NW001_NULL_N015_A0,NWP_A0_S26_NULL,NWB_A0_S26,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,26,0,VALID,-4.217303797700314,1.1906687907866846,-0.7572426205580856,-5.407972588486999,-1.9479114113447702,-15.407972588486999,M0,M0,False,169.60397988081075,,,,,
NWS000028,NW001_NULL_N015_A0,NWP_A0_S27_NULL,NWB_A0_S27,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,27,0,VALID,-4.741383619143885,0.7592418971736716,-1.1618496805707972,-5.500625516317557,-1.9210915777444688,-15.500625516317557,M0,M0,False,127.67908511853511,,,,,
NWS000029,NW001_NULL_N015_A0,NWP_A0_S28_NULL,NWB_A0_S28,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,28,0,VALID,-4.444538841227303,1.159627814827278,-0.7606303665323653,-5.604166656054581,-1.9202581813596433,-15.60416665605458,M0,M0,False,148.56506398603526,,,,,
NWS000030,NW001_NULL_N015_A0,NWP_A0_S29_NULL,NWB_A0_S29,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,29,0,VALID,-4.7916222525861905,0.6964810978086327,-1.2533240657903102,-5.488103350394823,-1.9498051635989428,-15.488103350394823,M0,M0,False,175.60598452728883,,,,,
NWS000031,NW001_NULL_N015_A0,NWP_A0_S30_NULL,NWB_A0_S30,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,30,0,VALID,-5.026080037378337,0.5231976510713778,-1.3057078635906931,-5.549277688449715,-1.828905514662071,-15.549277688449715,M0,M0,False,217.7764320618134,,,,,
NWS000032,NW001_NULL_N015_A0,NWP_A0_S31_NULL,NWB_A0_S31,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,31,0,VALID,-4.079883924441319,1.4727245999933736,-0.43832685694256224,-5.552608524434692,-1.9110514569359358,-15.552608524434692,M0,M0,False,128.7280708330673,,,,,
NWS000033,NW001_NULL_N015_A0,NWP_A0_S32_NULL,NWB_A0_S32,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,32,0,VALID,-4.544013870435089,0.9866260581402813,-0.9780244662585806,-5.53063992857537,-1.964650524398862,-15.53063992857537,M0,M0,False,170.1561670076568,,,,,
NWS000034,NW001_NULL_N015_A0,NWP_A0_S33_NULL,NWB_A0_S33,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,33,0,VALID,-5.035340596149295,0.4660941801355811,-1.399318715965797,-5.501434776284876,-1.865412896101378,-15.501434776284876,M0,M0,False,124.16831708598198,,,,,
NWS000035,NW001_NULL_N015_A0,NWP_A0_S34_NULL,NWB_A0_S34,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,34,0,VALID,-6.102415324445863,-0.8365330277708516,-2.781384230446821,-5.265882296675011,-1.9448512026759692,-15.265882296675011,M0,M0,False,170.38370870271805,,,,,
NWS000036,NW001_NULL_N015_A0,NWP_A0_S35_NULL,NWB_A0_S35,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,35,0,VALID,-5.470279913951273,0.08384181778719935,-1.7605507094174309,-5.554121731738473,-1.8443925272046302,-15.554121731738473,M0,M0,False,237.0173601494822,,,,,
NWS000037,NW001_NULL_N015_A0,NWP_A0_S36_NULL,NWB_A0_S36,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,36,0,VALID,-4.8665969456195235,0.6752414723876701,-1.2434213590918235,-5.541838418007194,-1.9186628314794936,-15.541838418007194,M0,M0,False,47.25796531224467,,,,,
NWS000038,NW001_NULL_N015_A0,NWP_A0_S37_NULL,NWB_A0_S37,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,37,0,VALID,-5.331499616434735,0.04800789377484982,-1.818397323447278,-5.379507510209585,-1.8664052172221277,-15.379507510209585,M0,M0,False,126.78688119956757,,,,,
NWS000039,NW001_NULL_N015_A0,NWP_A0_S38_NULL,NWB_A0_S38,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,38,0,VALID,-5.551560844293089,-0.1573262086029832,-2.0514269465192934,-5.394234635690106,-1.8941007379163102,-15.394234635690106,M0,M0,False,211.81461900843888,,,,,
NWS000040,NW001_NULL_N015_A0,NWP_A0_S39_NULL,NWB_A0_S39,NULL_FLARE_RED_NOISE,15,280.0,0.0,,,39,0,VALID,-5.10615734019683,0.3165616072283388,-1.639651523465008,-5.422718947425169,-1.9562131306933468,-15.42271894742517,M0,M0,False,172.53281871555714,,,,,
NWS000041,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S00_P050,NWB_A0_S00,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,0,0,VALID,-6.647658536821394,-1.2039214880923215,-3.209072130822414,-5.443737048729073,-2.0051506427300927,-15.443737048729073,M0,M0,False,57.34151354363065,formal_m1_center_not_selected,7.341513543630647,7.341513543630647,0.14683027087261294,0.14683027087261294
NWS000042,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S01_P050,NWB_A0_S01,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,1,0,VALID,-5.321627073885454,-0.029724229008987635,-1.5681633364335008,-5.291902844876466,-1.5384391074245132,-15.291902844876466,M0,M0,False,55.54288158911067,formal_m1_center_not_selected,5.542881589110671,5.542881589110671,0.11085763178221342,0.11085763178221342
NWS000043,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S02_P050,NWB_A0_S02,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,2,0,VALID,-4.65682584977154,0.794144104440365,-0.8126453718696967,-5.450969954211905,-1.6067894763100616,-15.450969954211905,M0,M0,False,53.627232874758526,formal_m1_center_not_selected,3.6272328747585263,3.6272328747585263,0.07254465749517053,0.07254465749517053
NWS000044,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S03_P050,NWB_A0_S03,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,3,0,VALID,-5.3966077811319675,0.13508681063541417,-1.8037841349545003,-5.531694591767382,-1.9388709455899145,-15.531694591767382,M0,M0,False,164.92017185586272,formal_m1_center_not_selected,114.92017185586272,114.92017185586272,2.2984034371172544,2.2984034371172544
NWS000045,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S04_P050,NWB_A0_S04,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,4,0,VALID,-2.2936834584797308,2.9816237824923455,1.0829148798567827,-5.275307240972076,-1.8987089026355628,-15.275307240972076,M0,M0,False,162.8682179700006,formal_m1_center_not_selected,112.86821797000059,112.86821797000059,2.257364359400012,2.257364359400012
NWS000046,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S05_P050,NWB_A0_S05,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,5,0,VALID,-6.496536421930717,-0.872399729342554,-2.785175787341463,-5.624136692588163,-1.9127760579989088,-15.624136692588163,M0,M0,False,125.82320257924385,formal_m1_center_not_selected,75.82320257924385,75.82320257924385,1.516464051584877,1.516464051584877
NWS000047,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S06_P050,NWB_A0_S06,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,6,0,VALID,-5.179491753361209,0.1989814236451366,-1.5389580153022377,-5.378473177006345,-1.7379394389473743,-15.378473177006345,M0,M0,False,52.11865422784659,formal_m1_center_not_selected,2.1186542278465907,2.1186542278465907,0.04237308455693181,0.04237308455693181
NWS000048,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S07_P050,NWB_A0_S07,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,7,0,VALID,-3.461660681752932,1.9415869982224905,0.1620905193652442,-5.403247679975422,-1.7794964788572463,-15.403247679975422,M0,M0,False,52.66676575853587,formal_m1_center_not_selected,2.666765758535867,2.666765758535867,0.05333531517071734,0.05333531517071734
NWS000049,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S08_P050,NWB_A0_S08,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,8,0,VALID,-4.162493336272924,1.1496014166215236,-0.5429164622018385,-5.312094752894447,-1.6925178788233621,-15.312094752894447,M0,M0,False,47.84245733757684,formal_m1_center_not_selected,-2.157542662423161,2.157542662423161,-0.04315085324846322,0.04315085324846322
NWS000050,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S09_P050,NWB_A0_S09,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,9,0,VALID,-5.705774138960724,-0.0034268153618111086,-1.9765426909088122,-5.702347323598913,-1.973115875547001,-15.702347323598913,M0,M0,False,138.2587832770291,formal_m1_center_not_selected,88.2587832770291,88.2587832770291,1.765175665540582,1.765175665540582
NWS000051,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S10_P050,NWB_A0_S10,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,10,0,VALID,-2.5191082529524764,2.614116999917737,0.8344892833373203,-5.133225252870213,-1.7796277165804169,-15.133225252870213,M0,M0,False,45.878797184119875,formal_m1_center_not_selected,-4.121202815880125,4.121202815880125,-0.0824240563176025,0.0824240563176025
NWS000052,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S11_P050,NWB_A0_S11,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,11,0,VALID,-2.9737400033164616,2.2934544570589903,0.7467898111167974,-5.2671944603754515,-1.5466646459421929,-15.267194460375451,M0,M0,False,46.78097332334348,formal_m1_center_not_selected,-3.2190266766565188,3.2190266766565188,-0.06438053353313038,0.06438053353313038
NWS000053,NW002_QPP_N015_P050_A0_Q040,NWP_A0_S12_P050,NWB_A0_S12,STATIONARY_QPP_PRESENT,15,280.0,0.0,50.0,0.04,12,0,VALID,-4.9363071477612515,0.5242165704554083,-1.453628704105971,-5.46052371821666,-1.9778452745613793,-15.46052371821666,M0,M0,False,64.20427982569406,formal_m1_center_not_selected,14.204279825694059,14.204279825694059,0.28408559651388116,0.28408559651388116
