parent_id,block_id,ground_truth,period_s,qpp_fraction,red_noise_alpha,data_seed,transition,n_from,n_to,delta_bic_0_1_from,delta_bic_0_1_to,delta_bic_2_1_from,delta_bic_2_1_to,joint_margin_from,joint_margin_to,paired_change_delta_bic_0_1,paired_change_delta_bic_2_1,paired_change_joint_margin,support_hypothesis_contrast,support_contrast_sign,cross_m0_up,cross_m0_down,cross_m2_up,cross_m2_down,qpp_selected_from,qpp_selected_to,joint_selection_up,joint_selection_down
NWP_A1_S27_NULL,NWB_A1_S27,NULL_FLARE_RED_NOISE,,,1.0,27,60_to_90,60,90,-5.6873721730836735,-8.09914889738343,-0.23749678067426316,-1.6995330135520703,-15.687372173083673,-18.09914889738343,-2.411776724299756,-1.4620362328778072,-2.411776724299756,,,False,False,False,False,False,False,False,False
NWP_A1_S27_NULL,NWB_A1_S27,NULL_FLARE_RED_NOISE,,,1.0,27,90_to_120,90,120,-8.09914889738343,-6.72951902378918,-1.6995330135520703,0.17649992017129534,-18.09914889738343,-16.72951902378918,1.3696298735942491,1.8760329337233657,1.3696298735942491,,,False,False,False,False,False,False,False,False
NWP_A1_S27_P050,NWB_A1_S27,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,27,15_to_30,15,30,-5.348567674705354,-7.110952406678365,-1.8768387315834874,-2.147879276009931,-15.348567674705354,-17.110952406678365,-1.762384731973011,-0.27104054442644365,-1.762384731973011,-1.4913441875465674,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P050,NWB_A1_S27,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,27,30_to_45,30,45,-7.110952406678365,-7.392119064745401,-2.147879276009931,-1.7115757447407987,-17.110952406678365,-17.3921190647454,-0.2811666580670362,0.43630353126913235,-0.2811666580670362,-0.7174701893361686,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P050,NWB_A1_S27,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,27,45_to_60,45,60,-7.392119064745401,-6.044149100529808,-1.7115757447407987,-0.23988862930664823,-17.3921190647454,-16.044149100529808,1.3479699642155936,1.4716871154341504,1.3479699642155936,-0.12371715121855686,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P050,NWB_A1_S27,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,27,60_to_90,60,90,-6.044149100529808,-8.020278104051556,-0.23988862930664823,-1.6384814202573352,-16.044149100529808,-18.020278104051556,-1.9761290035217485,-1.398592790950687,-1.9761290035217485,-0.5775362125710615,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P050,NWB_A1_S27,STATIONARY_QPP_PRESENT,50.0,0.04,1.0,27,90_to_120,90,120,-8.020278104051556,-6.704222447675932,-1.6384814202573352,0.22762156123383193,-18.020278104051556,-16.70422244767593,1.3160556563756245,1.8661029814911672,1.3160556563756245,-0.5500473251155427,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P080,NWB_A1_S27,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,27,15_to_30,15,30,-5.5401101084294275,-6.958736482748009,-1.8452334396642582,-2.070940723431775,-15.540110108429428,-16.95873648274801,-1.4186263743185812,-0.22570728376751692,-1.4186263743185812,-1.1929190905510643,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P080,NWB_A1_S27,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,27,30_to_45,30,45,-6.958736482748009,-8.187604702396271,-2.070940723431775,-2.4549124567586205,-16.95873648274801,-18.18760470239627,-1.2288682196482625,-0.3839717333268453,-1.2288682196482625,-0.8448964863214172,NEGATIVE,False,False,False,False,False,False,False,False
NWP_A1_S27_P080,NWB_A1_S27,STATIONARY_QPP_PRESENT,80.0,0.04,1.0,27,45_to_60,45,60,-8.187604702396271,-5.626067655544659,-2.4549124567586205,0.009499349486389974,-18.18760470239627,-15.62606765554466,2.561537046851612,2.4644118062450104,2.561537046851612,0.09712524060660144,POSITIVE,False,False,False,False,False,False,False,False
