job_id,job_order,job_class,series_id,condition_id,parent_id,block_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256,parent_n120_series_id
NWJ004322,4322,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,0,M1,pow_const_gauss,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
NWJ004323,4323,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,0,M2,bpow_const,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
NWJ007453,7453,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,1,M0,pow_const,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
NWJ007454,7454,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,1,M1,pow_const_gauss,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
NWJ007455,7455,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,90,1780,0,,,0,1,M2,bpow_const,54000,54090,NT_N090,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801
NWJ005401,5401,primary,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,0,M0,pow_const,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ005402,5402,primary,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,0,M1,pow_const_gauss,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ005403,5403,primary,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,0,M2,bpow_const,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ007696,7696,stability,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,1,M0,pow_const,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ007697,7697,stability,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,1,M1,pow_const_gauss,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ007698,7698,stability,NWS001801,NW046_NULL_N120_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,120,2380,0,,,0,1,M2,bpow_const,86400,86520,NT_N120,b867d0a5539a8a29e16c4067bd843f153e62a658154e5eff6f6194dfea4317e8,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,NWS001801
NWJ000961,961,primary,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,0,M0,pow_const,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ000962,962,primary,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,0,M1,pow_const_gauss,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ000963,963,primary,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,0,M2,bpow_const,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ006697,6697,stability,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,1,M0,pow_const,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ006698,6698,stability,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,1,M1,pow_const_gauss,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ006699,6699,stability,NWS000321,NW009_QPP_N015_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,15,280,2,80.0,0.04,0,1,M2,bpow_const,4800,4815,NT_N015,11a118ba9efc5710aa8295adb60c36631b52c3550d9606c0238eaa6731de9157,b2affa5abf9fde8b802c4229d7139db383cf6ebc48330de97baeb98d89966c6f,NWS002121
NWJ002041,2041,primary,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,0,M0,pow_const,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ002042,2042,primary,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,0,M1,pow_const_gauss,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ002043,2043,primary,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,0,M2,bpow_const,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ006940,6940,stability,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,1,M0,pow_const,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ006941,6941,stability,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,1,M1,pow_const_gauss,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ006942,6942,stability,NWS000681,NW018_QPP_N030_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,30,580,2,80.0,0.04,0,1,M2,bpow_const,15000,15030,NT_N030,f5b8863e2f4b355838385e7feda96ad1fe2d104f67ec81b057bcc81d806d9d97,e2ec0c9026e832e479e3364b90393c86d6f40901ee7b6639265afc71709d4b64,NWS002121
NWJ003121,3121,primary,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,0,M0,pow_const,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
NWJ003122,3122,primary,NWS001041,NW027_QPP_N045_P080_A2_Q040,NWP_A2_S00_P080,NWB_A2_S00,STATIONARY_QPP_PRESENT,45,880,2,80.0,0.04,0,0,M1,pow_const_gauss,30600,30645,NT_N045,3cfc2db6fd99ac596dda5e7380e963c42e44020875f8ade046dd174816ef76ef,53d6f419d7c4fb494a8959ad2735433208ea78f8a82471c3ce4638449fbf9ded,NWS002121
