job_id,job_order,job_class,series_id,condition_id,ground_truth,data_seed,external_optimizer_seed,model_id,model_name,n_samples,period_s,qpp_fraction,flux_start_offset,flux_end_offset,time_vector_id,input_flux_sha256,input_time_sha256
J013485,13485,stability,S000241,C007_NULL_N060_A0,NULL_FLARE_RED_NOISE,0,1,M2,bpow_const,60,,,5400,5460,T_N060,643c8135af7ebde0d769ba36cf6ba71010dca6dc1038ba1f8b8732df252a5b84,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J009961,9961,primary,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M0,pow_const,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J009962,9962,primary,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M1,pow_const_gauss,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J009963,9963,primary,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M2,bpow_const,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J015562,15562,stability,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M0,pow_const,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J015563,15563,stability,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M1,pow_const_gauss,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J015564,15564,stability,S003321,C084_QPP_N060_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M2,bpow_const,60,140,0.040000000000000001,132600,132660,T_N060,dd09a2d941a34e7bf4ba153c245e4744d4a0a6f530d8a3dd51b28acc74c615a6,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c
J001081,1081,primary,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,0,M0,pow_const,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J001082,1082,primary,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,0,M1,pow_const_gauss,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J001083,1083,primary,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,0,M2,bpow_const,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013564,13564,stability,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,1,M0,pow_const,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013565,13565,stability,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,1,M1,pow_const_gauss,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013566,13566,stability,S000361,C010_NULL_N120_A0,NULL_FLARE_RED_NOISE,0,1,M2,bpow_const,120,,,12600,12720,T_N120,0e94b4246758176ffa2dde2153fafddab5fca80f29113db5bff4d01251a0056f,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013201,13201,primary,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M0,pow_const,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013202,13202,primary,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M1,pow_const_gauss,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J013203,13203,primary,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,0,M2,bpow_const,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J016291,16291,stability,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M0,pow_const,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J016292,16292,stability,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M1,pow_const_gauss,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
J016293,16293,stability,S004401,C111_QPP_N120_P140_A2_Q040,STATIONARY_QPP_PRESENT,0,1,M2,bpow_const,120,140,0.040000000000000001,259800,259920,T_N120,2ca37f80f541ad81e5fe179db83b49cf0188c7a8488a649b13f0f6db91f936ba,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5
