job_id,job_class,series_id,condition_id,parent_id,block_id,ground_truth,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,external_optimizer_seed,model_id,model_name,status,runtime_seconds,n_samples,input_flux_sha256,input_time_sha256,parent_n120_series_id,afino_effective_dt_s,positive_frequency_bins,bins_after_cutoff,minimum_frequency_hz,maximum_frequency_hz,lnlike,BIC,rchi2,probability,parameters_json,estimated_period_s,parameter_at_bound,bound_indices_json,warning_count,warning_types_json,convergence_status,error
NWJ003243,primary,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,0,M2,bpow_const,OK,0.4417173999827355,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,101.441481856927,-189.4137803939081,0.2870898171243878,0.947901678651196,"[-25.79536480496785,3.877490464521755,0.005833331839180907,1.0,-5.291822211456631]",,True,[3],18,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ007210,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,1,M0,pow_const,OK,0.20320960000390187,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,101.34116135705975,-195.94773105414654,0.27108408869973905,0.9621289729760015,"[1.7284159669755355,3.9644495685519088,-5.102928585615394]",,False,[],0,[],NOT_AUDITABLE,
NWJ007211,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,1,M1,pow_const_gauss,OK,0.6322237999993376,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,102.01152071419217,-187.186562278452,0.2620703583464822,0.9545394899605352,"[1.7258386684187474,3.938627199771043,-5.217867418158742,-6.823170596188052,-4.478456343605079,0.05]",88.09857373095068,True,[5],0,[],NOT_AUDITABLE,
NWJ007212,stability,NWS001081,NW028_NULL_N060_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1180.0,0.0,,,0,1,M2,bpow_const,OK,0.4730301999952644,60,f9a44c3624a15bf12a8aa5ce901704b8e0e2b6251cc752145ca462cc57c2313a,0fb3bcf8972317f3933dc34a9fc8dcfa18003b7acdfa76628a25b5b624b5634c,NWS001801,20.0,29,29,0.0008333333333333334,0.02416666666666667,101.39297992827346,-189.31677653660103,0.3135543629678076,0.9353468417634079,"[-25.254472288997654,3.794463052182209,0.0033333264271669235,5.812041143975668,-5.0666308589708215]",,False,[],22,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ004321,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,0,M0,pow_const,OK,0.20493639999767765,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,139.2989838266285,-271.0295883854205,0.6090396601453123,0.8154558289196293,"[1.7313802603454032,4.072237435924669,-4.481068712787993]",,False,[],0,[],NOT_AUDITABLE,
NWJ004322,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,0,M1,pow_const_gauss,OK,0.6799025000073016,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,142.5325143305867,-266.1440804915821,0.5029541103921781,0.8854938692861051,"[1.6772098751716489,3.890084243153351,-4.724986670638315,-5.683460749080514,-3.7170790091088284,0.056430472672587724]",41.14403705579305,False,[],0,[],NOT_AUDITABLE,
NWJ004323,primary,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,0,M2,bpow_const,OK,0.36922340001910925,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,139.46259652950675,-263.78843452334047,0.6366797705310535,0.7835628758646304,"[-27.531939521315692,3.892556124621531,0.0033333333239241396,9.0,-4.484492380947003]",,True,[3],11,"[""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
NWJ007453,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,1,M0,pow_const,OK,0.21073989995056763,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,139.29898382662793,-271.02958838541934,0.609039503317382,0.8154559624804323,"[1.7313804733834157,4.072237944517118,-4.481068554590948]",,False,[],0,[],NOT_AUDITABLE,
NWJ007454,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,1,M1,pow_const_gauss,OK,0.6330519000184722,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,142.53251432699653,-266.14408048440174,0.5029567436433048,0.885492075632694,"[1.6771997769604845,3.8900751622027996,-4.72498732429833,-5.683680840190719,-3.7170929928673386,0.05642273864903187]",41.144612408094154,False,[],0,[],NOT_AUDITABLE,
NWJ007455,stability,NWS001441,NW037_NULL_N090_A0,NWP_A0_S00_NULL,NWB_A0_S00,NULL_FLARE_RED_NOISE,1780.0,0.0,,,0,1,M2,bpow_const,OK,0.37753400002839044,90,c73f532316fe1a6935ac4dea0a01d7d26d5da39d9c6d045ef5f86680c12cb404,7c503bca93ba19d0fbe66f82a4c8ed063f60df020616c6e40c34f18b98e0c2b4,NWS001801,20.0,44,44,0.0005555555555555556,0.024444444444444446,139.4625962568394,-263.78843397800574,0.6367286053922047,0.7835195712692017,"[-27.530912929822208,3.8923868139046447,0.003333331894417276,9.0,-4.484529664215605]",,True,[3],26,"[""RuntimeWarning: invalid value encountered in subtract"",""RuntimeWarning: overflow encountered in exp""]",NOT_AUDITABLE,
