condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,primary_decision_count,selection_count,selection_rate,wilson_ci_low,wilson_ci_high,median_delta_bic_0_1,median_delta_bic_2_1,median_joint_margin,limiting_m0_count,limiting_m2_count,limiting_tie_count,bic_winner_m0_count,bic_winner_m1_count,bic_winner_m2_count,bic_winner_tie_count,selected_period_count,selected_signed_period_error_median_s,selected_absolute_period_error_median_s,formal_period_count,formal_signed_period_error_median_s,formal_absolute_period_error_median_s
NW011_QPP_N030_P050_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.4653143784660045,-1.5022987496469682,-16.465314378466005,40,0,0,40,0,0,0,0,,,40,1.0644374584836847,4.4124616072851595
NW012_QPP_N030_P080_A0_Q040,STATIONARY_QPP_PRESENT,30,580.0,0.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.130581157053285,-1.3571119468317008,-16.130581157053285,40,0,0,40,0,0,0,0,,,40,-18.75420084402008,22.206138118736693
NW013_NULL_N030_A1,NULL_FLARE_RED_NOISE,30,580.0,1.0,,,40,0,0.0,0.0,0.08762160119728664,-7.152370277894249,-2.1306157769824807,-17.15237027789425,40,0,0,40,0,0,0,0,,,0,,
NW014_QPP_N030_P050_A1_Q040,STATIONARY_QPP_PRESENT,30,580.0,1.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.911027026234947,-1.0190473281538175,-15.911027026234947,40,0,0,40,0,0,0,0,,,40,1.3090802858502997,3.787519862341128
NW015_QPP_N030_P080_A1_Q040,STATIONARY_QPP_PRESENT,30,580.0,1.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.844271193195034,-2.018251056369145,-16.844271193195034,40,0,0,40,0,0,0,0,,,40,-6.965934492011435,12.473018810243389
NW016_NULL_N030_A2,NULL_FLARE_RED_NOISE,30,580.0,2.0,,,40,0,0.0,0.0,0.08762160119728664,-7.726400215837543,-2.583288206484667,-17.726400215837543,40,0,0,40,0,0,0,0,,,0,,
NW017_QPP_N030_P050_A2_Q040,STATIONARY_QPP_PRESENT,30,580.0,2.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-5.628360105853162,-0.7327765258093422,-15.628360105853162,40,0,0,40,0,0,0,0,,,40,0.18162766018203058,3.857496750708407
NW018_QPP_N030_P080_A2_Q040,STATIONARY_QPP_PRESENT,30,580.0,2.0,80.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.779885337908908,-2.0001675533662535,-16.779885337908908,40,0,0,40,0,0,0,0,,,40,-2.958006342706618,8.711237172658848
NW019_NULL_N045_A0,NULL_FLARE_RED_NOISE,45,880.0,0.0,,,40,0,0.0,0.0,0.08762160119728664,-6.71167049559088,-0.8977077257390249,-16.71167049559088,40,0,0,40,0,0,0,0,,,0,,
NW020_QPP_N045_P050_A0_Q040,STATIONARY_QPP_PRESENT,45,880.0,0.0,50.0,0.04,40,0,0.0,0.0,0.08762160119728664,-6.7318870174756285,-0.9765726432175938,-16.73188701747563,40,0,0,40,0,0,0,0,,,40,6.153124935055992,9.85652587830332
