parent_id,block_id,ground_truth,red_noise_alpha,data_seed,period_s,qpp_fraction,parent_n_samples,time_sha256,envelope_sha256,noise_sha256,phase_float64_sha256,qpp_component_sha256,parent_flux_sha256,all_finite,flux_mean,flux_std_ddof1,flux_min,flux_max,construction_status,error
NWP_A2_S14_P080,NWB_A2_S14,STATIONARY_QPP_PRESENT,2,14,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,6f916a0520897a997dfcf247d1e99586ae5acf548359921a58a9ed2e5cbadd9c,794e66ad5d613a256d033428960a718c83be449920a09d04f81f3b0396533e65,0cfc701587314d610bc20cdcd16b63990955920edb150d92ca55bc5ac4a8ece3,65512e02f5c45fc9aab3635017b8521a521f47149a9a76a3f25e14f1be3f9af0,True,1.0204590536723617,0.073016472731757001,0.98917482820477876,1.4916075581366743,OK,
NWP_A2_S15_NULL,NWB_A2_S15,NULL_FLARE_RED_NOISE,2,15,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,30652513a0e609999e6d37853dbd43b383e881f5cf921928fc26c7e7ba921d81,bf75b7ca89f1155879e5001cae84f0a6f08462b136d85720718045412fc9ab0d,,f005e96381ccd958f9419eea36e949d18649553ed8b898e9a4711eb57c9ed313,True,1.0205013742233473,0.071579438414340391,0.99147212978299926,1.4925056562386831,OK,
NWP_A2_S15_P050,NWB_A2_S15,STATIONARY_QPP_PRESENT,2,15,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,30652513a0e609999e6d37853dbd43b383e881f5cf921928fc26c7e7ba921d81,bf75b7ca89f1155879e5001cae84f0a6f08462b136d85720718045412fc9ab0d,3029e83206abaecfa3f8d8d3c21dcd0227cc836ef33312256560277cb7c85506,051efbc63d0595cd4c51f4696a5e9c5ca972d4e7c9e014088d55b5cafbd75655,True,1.0205489638519156,0.072061798856147261,0.99147212978300747,1.5021571636856328,OK,
NWP_A2_S15_P080,NWB_A2_S15,STATIONARY_QPP_PRESENT,2,15,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,30652513a0e609999e6d37853dbd43b383e881f5cf921928fc26c7e7ba921d81,bf75b7ca89f1155879e5001cae84f0a6f08462b136d85720718045412fc9ab0d,5c7a6c5bb67dd039f7a010e5cc9730a4ed53fcc6b3d4f2ffec8e7f44c4bffeb5,70b464c9af11b1ac1c9b9564dba73e4b73fd6bb9027eeb5de81ba44476956936,True,1.0205959036937586,0.072407960904861193,0.99147212978294086,1.5021571636856328,OK,
NWP_A2_S16_NULL,NWB_A2_S16,NULL_FLARE_RED_NOISE,2,16,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,4a4694cbb977b0574339363b2e7e83a22404b519da09aa093164a44cb59e4f6d,fa00ae1779e973585d18f97628223fcfa3c6de65b4b97eb0ffb31e7219c7f221,,51dab1a6fe4ccc39977b7fb7a290fa55075f5d1a24e6040a1f995815208c9f58,True,1.0205013742233473,0.072549260856104469,0.98963163702429602,1.5047137811029798,OK,
NWP_A2_S16_P050,NWB_A2_S16,STATIONARY_QPP_PRESENT,2,16,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,4a4694cbb977b0574339363b2e7e83a22404b519da09aa093164a44cb59e4f6d,fa00ae1779e973585d18f97628223fcfa3c6de65b4b97eb0ffb31e7219c7f221,be4ddd753e03eccc670cc81790257cda53908be147f5c88ea5671ea4eac10366,4eca4e8d5ef8970d3bf4ac8cb00a321f92af27468ecc06fb40558cfb63de041d,True,1.0205759147512625,0.073286667286276877,0.98964700641079195,1.5241566332750476,OK,
NWP_A2_S16_P080,NWB_A2_S16,STATIONARY_QPP_PRESENT,2,16,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,4a4694cbb977b0574339363b2e7e83a22404b519da09aa093164a44cb59e4f6d,fa00ae1779e973585d18f97628223fcfa3c6de65b4b97eb0ffb31e7219c7f221,b49ad45568425531c69fc659187628e8a046a02523ca607e626c43e98c8b9f9c,0f10b2c561caf306d96fb03e574e6a5f3b2346bb8b053de34bf9e7bb81786908,True,1.0206093883444469,0.073482819859106291,0.98961626763780008,1.5241566332750476,OK,
NWP_A2_S17_NULL,NWB_A2_S17,NULL_FLARE_RED_NOISE,2,17,,,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,dc5856fbe026fbdb1275da4ed14d836a8961dd12702baaad2caac3222e540b46,53c92cfa69a9e56d859eb66b156605a3a5a91b671ed3ce1566cef815c55d5ec1,,f12f0de1a6343955bab5584727a56e60c0d14406fdb564ae702bf094ec70b00a,True,1.0205013742233473,0.073470021033679833,0.99039236017372334,1.5049849922555154,OK,
NWP_A2_S17_P050,NWB_A2_S17,STATIONARY_QPP_PRESENT,2,17,50,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,dc5856fbe026fbdb1275da4ed14d836a8961dd12702baaad2caac3222e540b46,53c92cfa69a9e56d859eb66b156605a3a5a91b671ed3ce1566cef815c55d5ec1,950eae1a2ef13e0fa853796f87da6ae2538d61854ebf4b7460163c70e489a706,0656241a3f81624d39ba103009fdd24e6b0679185c66c29034ad8b6dcb36dc02,True,1.0205542393809721,0.073984078527506436,0.99039236034601952,1.5215399706103807,OK,
NWP_A2_S17_P080,NWB_A2_S17,STATIONARY_QPP_PRESENT,2,17,80,0.040000000000000001,120,4336ffe242107726964b8b51c66378a90d2570cd732e2037b36e258fa25410b5,644cc68cf5a9549f053b883cca848e1c85425db9cc35ed509fc7c5016c2a9a43,dc5856fbe026fbdb1275da4ed14d836a8961dd12702baaad2caac3222e540b46,53c92cfa69a9e56d859eb66b156605a3a5a91b671ed3ce1566cef815c55d5ec1,85e315807e126e8b5cb79fabf0e058dfea2c34f17fe347ad2ec03620fe40d16b,03bf9031f6b05b13869978964999ffef980ad2deb1047d7fdc616cce399b69b7,True,1.0205523708707831,0.073904871926408169,0.99039236005126063,1.5215399706103807,OK,
