condition_id,ground_truth,n_samples,duration_s,red_noise_alpha,period_s,qpp_fraction,data_seed,decision_count,optimizer_seeds,decision_sequence,selected_seed_count,primary_seed_selected,stability_seeds_selected_count,optimizer_seed_decision_discordance,bic_range_m0,bic_range_m1,bic_range_m2,m2_multiple_solution_flag,all_decisions_valid
NW040_NULL_N090_A1,NULL_FLARE_RED_NOISE,90,1780.0,1.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.888089850079268e-11,6.087628889872576e-08,1.6191566317047545e-05,False,True
NW041_QPP_N090_P050_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.1311840353300795e-11,0.21546762815938791,0.0007912360852060374,False,True
NW042_QPP_N090_P080_A1_Q040,STATIONARY_QPP_PRESENT,90,1780.0,1.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.034994395216927e-11,1.3999056136526633e-08,1.4273153624344559e-05,False,True
NW043_NULL_N090_A2,NULL_FLARE_RED_NOISE,90,1780.0,2.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,4.087041816092096e-11,1.35338467231918,1.3461862376264548,True,True
NW044_QPP_N090_P050_A2_Q040,STATIONARY_QPP_PRESENT,90,1780.0,2.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.0468072509393096e-11,2.199647610723332e-07,1.2736549101935566,True,True
NW045_QPP_N090_P080_A2_Q040,STATIONARY_QPP_PRESENT,90,1780.0,2.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.1941559680271894e-11,3.826618808489002e-07,1.0821462038635445,True,True
NW046_NULL_N120_A0,NULL_FLARE_RED_NOISE,120,2380.0,0.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.525677362224087e-10,3.1413378565048333e-09,0.011734241049907723,True,True
NW047_QPP_N120_P050_A0_Q040,STATIONARY_QPP_PRESENT,120,2380.0,0.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.5721647034515627e-10,1.6283365766867064e-09,0.011789586005477304,True,True
NW048_QPP_N120_P080_A0_Q040,STATIONARY_QPP_PRESENT,120,2380.0,0.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,1.1334577720845118e-10,6.668756213912275e-09,0.011835705454245726,True,True
NW049_NULL_N120_A1,NULL_FLARE_RED_NOISE,120,2380.0,1.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.387867764104158e-11,4.054808755427075e-07,2.2997169253358152e-05,False,True
NW050_QPP_N120_P050_A1_Q040,STATIONARY_QPP_PRESENT,120,2380.0,1.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.001332515850663e-11,1.688664497123682e-07,7.510489353990124e-06,False,True
NW051_QPP_N120_P080_A1_Q040,STATIONARY_QPP_PRESENT,120,2380.0,1.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,3.3651303965598345e-11,7.281732905539684e-08,2.790689842413485e-05,False,True
NW052_NULL_N120_A2,NULL_FLARE_RED_NOISE,120,2380.0,2.0,,,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,5.525180313270539e-11,3.3482638173154555e-07,0.5755872728946088,True,True
NW053_QPP_N120_P050_A2_Q040,STATIONARY_QPP_PRESENT,120,2380.0,2.0,50.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,2.7284841053187847e-11,7.988387551449705e-08,0.7312648912909481,True,True
NW054_QPP_N120_P080_A2_Q040,STATIONARY_QPP_PRESENT,120,2380.0,2.0,80.0,0.04,0,10,0|1|2|3|4|5|6|7|8|9,0000000000,0,False,0,0.0,9.447376214666292e-11,0.43394715691283636,0.4826351225658527,True,True
